Date,Open,High,Low,Close,Volume,Pattern
2018-01-02,231.5,232.5,231.0,232.5,18055.269,None
2018-01-03,236.0,238.0,235.5,237.0,31706.091,None
2018-01-04,240.0,240.0,236.5,239.5,29179.613,None
2018-01-05,240.0,240.0,238.0,240.0,23721.255,None
2018-01-08,242.0,242.5,240.5,242.0,21846.692,None
2018-01-09,242.0,242.0,239.5,242.0,19043.123,None
2018-01-10,241.5,242.0,236.0,236.5,25716.22,None
2018-01-11,235.0,236.0,232.5,235.0,32070.338,None
2018-01-12,234.5,238.0,233.5,237.0,23141.291,None
2018-01-15,240.0,240.0,238.0,240.0,28576.533,None
2018-01-16,240.0,240.5,238.0,240.5,23407.632,None
2018-01-17,240.5,243.0,239.0,242.0,38118.119,None
2018-01-18,245.0,250.0,245.0,248.5,50119.952,None
2018-01-19,253.5,255.5,251.5,255.5,55061.292,None
2018-01-22,257.5,262.0,257.0,261.5,45907.509,None
2018-01-23,262.5,266.0,262.5,266.0,34606.444,None
2018-01-24,263.0,263.0,256.5,258.0,42600.813,None
2018-01-25,258.0,264.0,256.5,258.0,46214.756,None
2018-01-26,256.5,257.5,253.5,255.0,43514.523,None
2018-01-29,259.0,261.5,255.0,258.5,31306.234,None
2018-01-30,256.0,257.5,252.5,253.0,37410.591,None
2018-01-31,253.0,257.5,252.0,255.0,45807.808,None
2018-02-01,257.5,261.0,257.0,259.5,30900.457,None
2018-02-02,259.0,260.0,255.0,259.5,25707.56,None
2018-02-05,251.0,254.5,250.5,253.0,46554.379,None
2018-02-06,242.5,243.5,234.0,239.0,104448.048,None
2018-02-07,245.0,245.5,239.5,240.0,82299.178,Dark Cloud Cover
2018-02-08,239.5,242.0,238.0,238.5,31192.55,None
2018-02-09,230.0,233.0,228.5,232.5,65939.265,None
2018-02-12,235.5,237.5,235.0,236.5,42917.236,None
2018-02-21,244.5,244.5,242.0,242.5,76396.174,None
2018-02-22,244.0,244.0,239.0,239.5,45492.993,None
2018-02-23,241.0,245.0,241.0,245.0,26985.776,None
2018-02-26,247.0,247.5,245.0,246.5,36165.81,None
2018-02-27,250.5,250.5,246.0,246.0,44699.119,Dark Cloud Cover
2018-03-01,244.0,245.0,242.0,243.0,43847.984,None
2018-03-02,240.0,241.0,238.5,240.0,35289.17,None
2018-03-05,242.5,243.0,240.5,241.5,27337.846,None
2018-03-06,245.5,250.0,245.5,250.0,36945.78,None
2018-03-07,248.0,248.5,246.0,247.0,30391.219,Bearish Harami
2018-03-08,249.5,251.5,249.0,249.5,20645.694,None
2018-03-09,250.0,251.0,248.5,250.5,22887.063,None
2018-03-12,252.0,255.0,251.5,254.0,25100.615,None
2018-03-13,255.5,259.0,255.0,259.0,34264.883,None
2018-03-14,256.5,257.5,255.5,257.0,24254.838,Descending Hawk
2018-03-15,258.0,258.0,255.0,255.0,19396.493,Bearish Engulfing
2018-03-16,253.0,256.0,249.5,255.0,62989.326,None
2018-03-19,252.5,255.5,251.0,255.0,22440.766,None
2018-03-20,253.0,254.0,251.5,253.0,22335.151,None
2018-03-21,255.0,255.0,251.0,252.5,32977.737,Dark Cloud Cover
2018-03-22,254.5,254.5,249.5,251.5,27000.718,None
2018-03-23,245.0,247.0,244.0,245.0,52974.39,None
2018-03-26,241.5,244.5,241.5,243.5,39487.945,None
2018-03-27,248.0,251.0,247.0,251.0,31100.26,None
2018-03-28,247.5,248.0,244.0,245.0,29924.411,None
2018-03-29,243.0,247.0,242.5,244.0,36427.345,None
2018-03-30,247.5,249.5,246.0,246.0,16996.346,None
2018-03-31,247.5,249.0,246.5,247.5,3603.912,None
2018-04-02,248.5,249.0,245.0,246.5,19029.003,None
2018-04-03,243.0,244.5,242.0,244.0,35813.944,None
2018-04-09,248.0,248.0,243.5,245.0,35465.824,None
2018-04-10,244.5,249.0,243.5,245.5,25268.994,None
2018-04-11,246.5,248.5,246.5,248.0,21777.935,None
2018-04-12,248.5,248.5,244.0,245.0,20476.657,Bearish Engulfing
2018-04-13,246.0,246.0,244.0,244.5,19946.548,None
2018-04-16,243.0,244.0,242.0,243.5,21608.528,None
2018-04-17,243.0,243.5,237.5,238.0,42756.389,None
2018-04-18,239.5,241.5,236.5,238.0,44768.048,None
2018-04-19,242.0,244.5,241.0,244.5,33230.989,None
2018-04-20,228.0,231.5,228.0,229.0,129890.087,None
2018-04-23,226.5,227.5,225.0,226.5,71901.975,None
2018-04-24,225.0,227.5,225.0,227.0,45206.892,None
2018-04-25,225.5,226.0,224.0,225.0,48975.11,None
2018-04-26,225.0,225.5,221.0,222.0,48176.657,None
2018-04-27,225.0,225.5,221.0,223.5,34443.459,None
2018-04-30,224.5,228.0,222.5,227.0,28500.789,None
2018-05-02,227.0,227.5,222.5,223.0,38436.942,None
2018-05-03,221.0,222.5,220.0,220.5,33507.731,None
2018-05-04,221.0,224.0,220.5,223.0,28477.722,None
2018-05-07,225.0,225.5,221.5,223.5,23751.759,None
2018-05-08,224.0,228.5,223.5,228.0,40324.763,None
2018-05-09,228.5,232.0,228.5,229.5,35597.934,None
2018-05-10,231.0,231.5,229.0,229.5,27530.377,None
2018-05-11,232.0,234.0,230.5,233.0,30693.91,None
2018-05-14,234.5,234.5,232.5,233.0,23577.637,None
2018-05-15,233.5,234.0,229.5,230.5,23771.769,None
2018-05-16,229.5,230.5,228.5,230.5,14834.107,None
2018-05-17,231.0,231.5,226.5,226.5,27702.737,Bearish Engulfing
2018-05-18,225.5,227.5,223.5,223.5,28187.541,None
2018-05-21,225.0,230.0,225.0,229.0,16417.815,None
2018-05-22,230.0,233.5,229.0,229.0,22422.097,None
2018-05-23,231.5,231.5,228.5,228.5,26737.899,None
2018-05-24,229.5,230.0,228.5,229.0,13450.61,Homing Pigeon
2018-05-25,228.5,229.5,228.0,228.5,16486.294,None
2018-05-28,229.5,230.0,226.5,227.0,17673.27,None
2018-05-29,226.5,226.5,223.5,225.0,25770.776,None
2018-05-30,224.0,224.0,220.5,221.0,49667.788,None
2018-05-31,221.5,224.0,220.5,224.0,96587.458,None
2018-06-01,224.5,226.5,224.0,224.0,36652.094,None
2018-06-04,227.5,229.0,227.0,229.0,31257.48,None
2018-06-05,230.0,230.0,226.5,229.0,27714.384,None
2018-06-06,229.0,230.0,227.0,230.0,30375.441,None
2018-06-07,231.0,231.5,228.0,230.0,25277.266,None
2018-06-08,229.0,229.0,226.0,227.0,24192.851,None
2018-06-11,226.5,227.0,225.0,226.0,22028.933,None
2018-06-12,225.0,229.0,224.0,229.0,30189.36,Bullish Engulfing
2018-06-13,229.0,232.0,228.0,232.0,36081.12,None
2018-06-14,230.0,230.0,226.5,226.5,36932.041,None
2018-06-15,225.0,231.0,224.0,231.0,49506.679,Bullish Engulfing
2018-06-19,225.5,226.0,224.0,225.0,61142.624,None
2018-06-20,224.5,227.5,223.5,226.0,40708.701,Bullish Engulfing
2018-06-21,227.5,228.0,226.0,226.5,32572.707,None
2018-06-22,224.5,227.5,224.0,227.5,44211.409,Piercing Line
2018-06-25,220.0,220.5,218.0,218.0,49058.211,None
2018-06-26,215.5,216.0,212.5,214.5,43080.346,None
2018-06-27,216.0,216.0,212.5,213.0,40863.414,None
2018-06-28,211.0,214.5,210.0,212.0,38816.78,None
2018-06-29,212.0,217.0,212.0,216.5,36848.68,None
2018-07-02,218.5,219.0,214.0,214.0,33496.442,Dark Cloud Cover
2018-07-03,215.5,218.0,213.5,214.5,28663.22,Homing Pigeon
2018-07-04,217.0,217.5,215.5,216.0,15359.295,None
2018-07-05,214.0,215.0,213.0,214.5,18225.416,None
2018-07-06,217.5,217.5,215.0,217.0,31344.962,None
2018-07-09,219.5,223.0,218.5,221.5,41165.793,None
2018-07-10,223.0,224.0,222.0,222.0,20196.957,None
2018-07-11,220.0,220.0,218.0,220.0,19854.69,None
2018-07-12,218.0,222.0,218.0,220.5,23806.051,None
2018-07-13,222.5,224.5,222.5,224.5,30419.311,None
2018-07-16,224.5,225.0,223.5,223.5,16107.254,None
2018-07-17,222.5,223.5,221.0,221.5,22554.436,None
2018-07-18,223.0,224.0,222.0,223.0,45802.658,None
2018-07-19,225.5,227.0,224.5,224.5,43976.216,None
2018-07-20,235.0,237.5,233.0,237.5,103652.023,None
2018-07-23,239.0,245.0,238.5,241.0,52269.877,None
2018-07-24,240.0,241.5,238.5,241.0,27468.267,None
2018-07-25,239.0,241.0,239.0,240.5,21530.312,None
2018-07-26,241.0,242.5,239.5,241.0,30856.388,None
2018-07-27,242.0,244.5,241.0,244.5,27129.646,None
2018-07-30,244.5,245.5,244.0,245.5,22803.73,None
2018-07-31,243.5,246.0,242.0,246.0,28202.542,Piercing Line
2018-08-01,247.0,248.0,246.5,248.0,29777.161,None
2018-08-02,249.0,249.5,243.5,244.5,22775.11,Bearish Engulfing
2018-08-03,246.0,248.0,245.0,247.0,25165.097,Bullish Harami
2018-08-06,245.0,247.0,244.0,245.5,22364.568,None
2018-08-07,245.0,245.5,241.5,241.5,24352.418,None
2018-08-08,245.0,247.5,244.5,247.5,24382.432,None
2018-08-09,247.0,248.0,246.0,247.0,15128.655,None
2018-08-10,246.5,247.0,244.5,245.0,16125.492,None
2018-08-13,241.5,243.0,239.0,240.5,17881.194,None
2018-08-14,245.0,245.0,242.5,243.5,17488.913,None
2018-08-15,244.5,244.5,239.5,241.5,19236.321,None
2018-08-16,238.0,241.5,238.0,239.0,19155.966,None
2018-08-17,239.5,241.0,239.0,239.5,19634.474,None
2018-08-20,239.5,240.0,238.0,239.5,17014.437,None
2018-08-21,239.0,241.0,238.5,241.0,13871.127,None
2018-08-22,241.5,242.5,240.5,242.0,12679.24,None
2018-08-23,243.0,244.5,243.0,244.5,17216.24,None
2018-08-24,245.5,246.0,243.0,243.5,15446.943,Dark Cloud Cover
2018-08-27,246.0,246.5,244.5,245.0,15579.299,None
2018-08-28,248.5,250.0,248.0,249.5,40410.531,None
2018-08-29,253.5,259.0,253.5,259.0,57633.182,None
2018-08-30,264.5,268.0,262.5,263.5,52622.808,None
2018-08-31,257.5,259.0,254.0,256.0,70000.506,None
2018-09-03,259.0,260.0,256.5,257.0,34510.555,None
2018-09-04,258.5,259.5,255.5,257.5,41455.615,Homing Pigeon
2018-09-05,260.0,264.5,259.0,264.0,52706.459,None
2018-09-06,268.0,268.0,261.0,261.0,39779.488,Dark Cloud Cover
2018-09-07,263.0,264.0,260.5,264.0,44746.728,Bullish Harami
2018-09-10,266.5,266.5,262.5,264.5,62851.599,None
2018-09-11,263.0,263.5,258.0,260.0,44981.276,None
2018-09-12,261.0,262.0,258.0,260.5,38415.965,Homing Pigeon
2018-09-13,260.0,260.0,253.5,255.0,37959.18,None
2018-09-14,257.0,261.5,257.0,261.0,40034.219,None
2018-09-17,262.5,262.5,257.0,258.0,25041.358,Dark Cloud Cover
2018-09-18,256.5,257.0,254.0,254.5,34381.152,None
2018-09-19,258.0,260.0,257.0,258.0,69978.711,None
2018-09-20,261.5,261.5,257.5,260.0,35577.071,None
2018-09-21,261.5,261.5,258.0,261.5,36500.974,None
2018-09-25,261.5,264.0,260.5,263.5,24978.062,None
2018-09-26,263.0,263.5,261.0,263.5,25061.115,None
2018-09-27,264.0,266.0,262.0,265.0,38495.371,None
2018-09-28,266.0,266.0,260.0,262.5,39645.486,Bearish Engulfing
2018-10-01,262.0,264.0,261.0,263.0,22409.38,None
2018-10-02,262.0,263.0,257.0,257.5,38391.491,None
2018-10-03,257.5,260.0,257.0,260.0,25228.536,None
2018-10-04,257.0,257.5,254.0,254.0,38009.727,None
2018-10-05,250.0,253.0,248.5,250.0,40396.66,None
2018-10-08,245.5,246.5,241.0,243.5,51083.958,None
2018-10-09,243.5,245.0,242.0,244.0,28933.345,None
2018-10-11,233.5,233.5,227.0,227.5,96033.657,None
2018-10-12,231.0,237.0,229.0,237.0,54439.769,None
2018-10-15,234.0,234.0,230.5,230.5,46471.28,None
2018-10-16,229.5,237.0,229.0,237.0,39129.077,Bullish Engulfing
2018-10-17,241.5,243.0,238.0,238.5,42887.858,None
2018-10-18,238.0,239.0,235.5,236.5,27793.43,None
2018-10-19,231.0,236.5,230.0,236.0,29648.46,None
2018-10-22,232.5,238.0,231.5,237.0,29275.777,None
2018-10-23,232.0,234.0,230.0,230.0,36757.745,None
2018-10-24,230.0,231.0,227.0,229.5,45480.95,None
2018-10-25,220.5,222.0,219.5,219.5,75524.118,None
2018-10-26,223.0,224.0,217.0,221.0,54073.644,None
2018-10-29,223.0,224.0,221.0,222.5,18463.792,None
2018-10-30,221.0,225.0,220.5,223.0,29085.931,None
2018-10-31,228.0,234.0,228.0,234.0,59933.201,None
2018-11-01,236.0,237.0,233.0,235.5,44514.797,None
2018-11-02,236.5,236.5,233.5,236.5,30785.361,None
2018-11-05,233.0,235.5,232.0,235.0,28157.065,None
2018-11-06,234.0,235.5,232.5,234.5,35501.176,Descending Hawk
2018-11-07,233.0,236.0,232.5,234.0,39842.652,None
2018-11-08,237.5,237.5,236.0,236.5,28086.146,None
2018-11-09,234.5,234.5,231.0,231.0,23792.081,None
2018-11-12,230.0,234.5,230.0,231.5,26202.445,None
2018-11-13,224.5,228.0,224.5,227.5,37565.127,None
2018-11-14,230.0,231.0,228.5,228.5,24565.279,None
2018-11-15,229.5,232.0,228.5,231.0,22230.228,None
2018-11-16,229.0,229.0,225.0,226.0,47138.909,None
2018-11-19,225.0,225.0,221.0,222.0,51034.754,None
2018-11-20,219.0,220.5,218.0,218.0,45686.756,None
2018-11-21,214.5,220.0,214.0,219.0,38478.343,Piercing Line
2018-11-22,221.5,222.0,219.0,219.0,22060.61,None
