Date,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,本益比,股價淨值比,殖利率,股利年度
20190102,2330,台積電,"32,900,482","12,329","7,276,419,230",226.5,226.5,219,219.5,-,6,"13,633,825","22,365,017","-8,731,192",0,0,0,"175,000","166,000","9,000","-794,000","742,000","1,375,000","-633,000","183,000","344,000","-161,000","-9,516,192",16.24,3.61,3.64,106
20190103,2330,台積電,"34,615,620","14,549","7,459,051,790",214,218,214,215.5,-,4,"14,327,199","28,959,678","-14,632,479",0,0,0,"8,000","47,000","-39,000","1,043,000","251,000","241,000","10,000","1,114,000","81,000","1,033,000","-13,628,479",15.94,3.55,3.71,106
20190104,2330,台積電,"67,043,521","28,786","13,987,136,785",211.5,211.5,206.5,208,-,7.5,"20,975,300","49,516,680","-28,541,380",0,0,0,"31,000","2,457,000","-2,426,000","2,689,000","1,161,000","422,000","739,000","1,984,000","34,000","1,950,000","-28,278,380",15.38,3.42,3.85,106
20190107,2330,台積電,"35,695,176","11,224","7,591,116,569",212,214,211,213,+,5,"27,607,176","23,450,094","4,157,082",0,0,0,"53,000","472,000","-419,000","1,055,000","502,000","321,000","181,000","1,113,000","239,000","874,000","4,793,082",15.75,3.51,3.76,106
20190108,2330,台積電,"23,794,481","9,377","5,019,703,557",212,212.5,210,211,-,2,"17,819,710","17,073,728","745,982",0,0,0,"55,000","1,438,000","-1,383,000","-104,000","287,000","118,000","169,000","340,000","613,000","-273,000","-741,018",15.61,3.47,3.79,106
20190109,2330,台積電,"51,255,446","14,098","11,006,827,093",212,216.5,211,215.5,+,4.5,"39,675,749","32,127,443","7,548,306",0,0,0,"303,000","717,000","-414,000","235,005","2,128,000","1,254,000","874,000","347,000","985,995","-638,995","7,369,311",15.94,3.55,3.71,106
20190110,2330,台積電,"20,832,593","6,018","4,491,377,349",216,216.5,214.5,216,+,0.5,"18,743,557","17,263,645","1,479,912",0,0,0,"22,000","278,000","-256,000","-297,000","44,000","67,000","-23,000","80,000","354,000","-274,000","926,912",15.98,3.56,3.7,106
20190111,2330,台積電,"28,658,288","11,198","6,296,719,320",219,220.5,218,220.5,+,4.5,"25,495,353","13,653,645","11,841,708",0,0,0,"505,000","146,000","359,000","-660,000","233,000","544,000","-311,000","84,000","433,000","-349,000","11,540,708",16.31,3.63,3.63,106
20190114,2330,台積電,"17,612,296","6,469","3,844,735,324",218.5,220,217,218.5,-,2,"11,122,000","12,972,338","-1,850,338",0,0,0,"40,000","642,000","-602,000","27,000","121,000","7,000","114,000","118,000","205,000","-87,000","-2,425,338",16.16,3.6,3.66,106
20190115,2330,台積電,"42,990,923","11,609","9,399,209,983",216.5,221,215.5,221,+,2.5,"34,125,091","24,271,930","9,853,161",0,0,0,"14,234","1,311,000","-1,296,766","-373,000","267,000","633,000","-366,000","401,000","408,000","-7,000","8,183,395",16.35,3.64,3.62,106
20190116,2330,台積電,"30,038,282","8,950","6,563,789,758",218.5,220,217.5,217.5,-,3.5,"17,878,988","25,650,697","-7,771,709",0,0,0,"4,000","620,000","-616,000","856,000","669,000","15,000","654,000","565,000","363,000","202,000","-7,531,709",16.09,3.58,3.68,106
20190117,2330,台積電,"21,163,986","8,288","4,646,131,841",218,221,218,220.5,+,3,"15,427,000","12,718,116","2,708,884",0,0,0,"302,000","240,000","62,000","-1,017,399","76,000","447,000","-371,000","93,000","739,399","-646,399","1,753,485",16.31,3.63,3.63,106
20190118,2330,台積電,"52,677,569","15,157","11,530,053,787",219,220,217.5,218.5,-,2,"29,104,264","42,694,216","-13,589,952",0,0,0,"181,000","391,000","-210,000","1,124,000","214,000","362,000","-148,000","1,349,000","77,000","1,272,000","-12,675,952",16.16,3.6,3.66,106
20190121,2330,台積電,"32,515,866","10,549","7,208,829,658",220,223,220,221,+,2.5,"24,369,578","21,026,114","3,343,464",0,0,0,"1,225,000","1,639,000","-414,000","864,000","506,000","91,000","415,000","599,000","150,000","449,000","3,793,464",16.35,3.64,3.62,106
20190122,2330,台積電,"30,958,483","8,258","6,854,867,566",220,223,219,223,+,2,"22,800,000","18,898,238","3,901,762",0,0,0,"1,166,000","3,000","1,163,000","-659,000","281,000","258,000","23,000","12,000","694,000","-682,000","4,405,762",16.49,3.67,3.59,106
20190123,2330,台積電,"18,671,213","7,059","4,121,110,926",221.5,222,220,220.5,-,2.5,"14,036,341","15,402,816","-1,366,475",0,0,0,"15,000","233,000","-218,000","-448,000","83,000","413,000","-330,000","17,000","135,000","-118,000","-2,032,475",16.31,3.63,3.63,106
20190124,2330,台積電,"31,348,924","6,291","6,958,753,608",222.5,222.5,220.5,222.5,+,2,"27,201,102","24,569,722","2,631,380",0,0,0,"134,000","29,000","105,000","-153,000",0,"82,000","-82,000","13,000","84,000","-71,000","2,583,380",16.46,3.66,3.6,106
20190125,2330,台積電,"48,039,764","14,979","10,870,045,150",226.5,227,225,226,+,3.5,"42,382,028","26,550,960","15,831,068",0,0,0,"738,000","13,000","725,000","209,000","260,000","192,000","68,000","178,000","37,000","141,000","16,765,068",16.72,3.72,3.54,106
20190128,2330,台積電,"29,134,257","10,189","6,665,379,096",229.5,229.5,228,229,+,3,"24,995,780","16,144,022","8,851,758",0,0,0,"886,000","134,000","752,000","-681,000","350,000","641,000","-291,000","22,000","412,000","-390,000","8,922,758",16.94,3.77,3.49,106
20190129,2330,台積電,"42,566,520","13,344","9,486,156,460",222.5,225,222,222.5,-,6.5,"27,167,747","37,032,304","-9,864,557",0,0,0,"88,000","616,000","-528,000","972,000","293,000","125,000","168,000","817,000","13,000","804,000","-9,420,557",16.46,3.66,3.6,106
20190130,2330,台積電,"51,889,945","12,858","11,453,957,730",220.5,221.5,220,221,-,1.5,"33,473,378","45,772,593","-12,299,215",0,0,0,"161,000","310,000","-149,000","493,000","450,000","42,000","408,000","199,000","114,000","85,000","-11,955,215",16.35,3.64,3.62,106
20190211,2330,台積電,"81,360,106","21,689","18,546,167,132",228,229,226.5,228,+,7,"74,928,232","45,381,859","29,546,373",0,0,0,"424,000","94,000","330,000","-1,012,000","238,000","497,000","-259,000","126,000","879,000","-753,000","28,864,373",16.86,3.75,3.51,106
20190212,2330,台積電,"30,125,670","13,313","6,921,488,930",230,230,229,230,+,2,"26,643,361","11,540,774","15,102,587",0,0,0,"1,226,000","293,000","933,000","-63,000","100,000","166,000","-66,000","96,000","93,000","3,000","15,972,587",17.01,3.79,3.48,106
20190213,2330,台積電,"28,634,925","10,230","6,575,201,825",232,232,228.5,229,-,1,"24,409,522","12,698,036","11,711,486",0,0,0,"50,000","602,000","-552,000","-63,000","98,000","26,000","72,000","210,000","345,000","-135,000","11,096,486",16.94,3.77,3.49,106
20190214,2330,台積電,"23,647,751","6,873","5,392,943,977",229.5,230,226,227,-,2,"18,838,207","18,057,469","780,738",0,0,0,0,"565,000","-565,000","412,000","277,000","21,000","256,000","351,000","195,000","156,000","627,738",16.79,3.74,3.52,106
20190215,2330,台積電,"22,369,799","5,743","5,093,773,373",229,229,226.5,227, ,0,"20,463,160","16,952,928","3,510,232",0,0,0,0,"393,000","-393,000","-468,000","15,000","174,000","-159,000","51,000","360,000","-309,000","2,649,232",16.79,3.74,3.52,106
20190218,2330,台積電,"18,163,916","7,035","4,169,729,625",229,230.5,228.5,230,+,3,"14,709,000","8,021,000","6,688,000",0,0,0,"153,000","95,000","58,000","-400,000","33,000","715,000","-682,000","399,000","117,000","282,000","6,346,000",17.01,3.79,3.48,106
20190219,2330,台積電,"18,423,023","6,471","4,228,108,427",230,230.5,229,229,-,1,"12,958,978","13,603,300","-644,322",0,0,0,"325,000","62,000","263,000","-84,000","62,000","121,000","-59,000","121,000","146,000","-25,000","-465,322",16.94,3.77,3.49,106
20190220,2330,台積電,"31,887,710","14,241","7,430,197,670",231.5,234.5,231,234.5,+,5.5,"26,348,508","13,977,444","12,371,064",0,0,0,"559,000","15,000","544,000","283,000","40,000","67,000","-27,000","475,000","165,000","310,000","13,198,064",17.34,3.86,3.41,106
