﻿Date,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,本益比,股價淨值比,殖利率,股利年度
20220103,2330,台積電,"73,703,302","88,508","46,249,716,919",619,632,618,631,+,16,"44,651,940","12,114,783","32,537,157",0,0,0,"1,197,044","35,000","1,162,044","2,133,536","2,265,074","512,179","1,752,895","465,641","85,000","380,641","35,832,737",28.55,7.88,1.58,109
20220104,2330,台積電,"90,945,643","106,409","59,188,199,534",645,656,644,656,+,25,"51,756,480","21,974,607","29,781,873",0,0,0,"4,072,000","101,333","3,970,667","1,195,594","1,377,111","791,067","586,044","864,850","255,300","609,550","34,948,134",29.68,8.19,1.52,109
20220105,2330,台積電,"72,505,550","64,712","47,582,832,784",669,669,646,650,-,6,"41,795,396","37,006,966","4,788,430",0,0,0,"953,000","351,187","601,813","-281,821","1,424,416","1,426,302","-1,886","165,000","444,935","-279,935","5,108,422",29.41,8.12,1.54,109
20220106,2330,台積電,"57,490,736","53,430","36,817,638,522",638,646,636,644,-,6,"26,414,891","37,860,049","-11,445,158",0,0,0,"960,000","123,363","836,637","1,181,956","1,583,968","670,959","913,009","443,947","175,000","268,947","-9,426,565",29.14,8.04,1.55,109
20220107,2330,台積電,"39,847,766","44,497","25,358,237,656",643,646,632,634,-,10,"16,338,923","26,432,732","-10,093,809",0,0,0,"451,000","46,000","405,000","1,176,224","1,124,327","346,391","777,936","409,288","11,000","398,288","-8,512,585",28.69,7.92,1.58,109
20220110,2330,台積電,"39,286,754","33,453","25,052,138,297",628,645,627,643,+,9,"19,382,133","19,725,494","-343,361",0,0,0,"541,000","124,000","417,000","425,242","794,137","1,018,297","-224,160","680,835","31,433","649,402","498,881",29.1,8.03,1.56,109
20220111,2330,台積電,"36,186,544","26,849","23,361,588,355",646,651,639,651,+,8,"26,335,196","18,073,697","8,261,499",0,0,0,"479,000","218,849","260,151","-1,005,353","211,732","801,997","-590,265","74,912","490,000","-415,088","7,516,297",29.46,8.13,1.54,109
20220112,2330,台積電,"40,832,298","39,164","26,762,357,054",657,660,650,660,+,9,"29,197,692","14,081,987","15,115,705",0,0,0,"556,000","188,745","367,255","345,599","763,599","747,000","16,599","535,000","206,000","329,000","15,828,559",29.86,8.24,1.52,109
20220113,2330,台積電,"39,172,028","34,355","25,813,559,647",658,662,655,661,+,1,"25,436,077","14,576,734","10,859,343",0,0,0,"834,000","127,515","706,485","-266,047","755,949","1,021,996","-266,047","157,000","157,000",0,"11,299,781",29.91,8.26,1.51,109
20220114,2330,台積電,"98,768,193","83,211","66,094,477,906",673,673,661,672,+,11,"63,995,168","21,401,672","42,593,496",0,0,0,"1,131,850","266,456","865,394","-3,179,850","824,133","3,199,983","-2,375,850","122,000","926,000","-804,000","40,279,040",30.41,8.39,1.49,109
20220117,2330,台積電,"63,828,552","61,981","43,615,303,577",685,688,678,683,+,11,"40,285,082","21,099,516","19,185,566",0,0,0,"789,000","744,300","44,700","-318,338","812,162","922,000","-109,838","189,500","398,000","-208,500","18,911,928",30.9,8.53,1.46,109
20220118,2330,台積電,"48,802,321","65,357","32,742,176,854",678,681,662,662,-,21,"16,516,440","30,475,553","-13,959,113",0,0,0,"180,000","210,266","-30,266","-206,978","890,197","762,536","127,661","103,200","437,839","-334,639","-14,196,357",29.95,8.27,1.51,109
20220119,2330,台積電,"44,092,247","50,763","28,859,030,269",652,660,651,654,-,8,"23,294,722","22,539,762","754,960",0,0,0,"437,000","306,180","130,820","-1,221,465","887,992","1,794,903","-906,911","170,000","484,554","-314,554","-335,685",29.59,8.17,1.53,109
20220120,2330,台積電,"48,996,473","39,346","31,893,527,292",650,657,646,651,-,3,"20,606,014","29,011,166","-8,405,152",0,0,0,"680,000","2,945,000","-2,265,000","668,790","252,308","388,123","-135,815","931,987","127,382","804,605","-10,001,362",29.46,8.13,1.54,109
20220121,2330,台積電,"53,966,101","66,088","34,642,476,570",644,646,637,641,-,10,"23,406,781","36,196,134","-12,789,353",0,0,0,"479,000","37,000","442,000","348,561","891,770","2,175,247","-1,283,477","1,880,000","247,962","1,632,038","-11,998,792",29,8.01,1.56,109
20220124,2330,台積電,"48,665,203","36,231","31,412,475,591",639,655,637,653,+,12,"33,201,673","28,319,366","4,882,307",0,0,0,"379,000","6,000","373,000","-781,008","317,000","1,057,009","-740,009","197,984","238,983","-40,999","4,474,299",29.55,8.16,1.53,109
20220125,2330,台積電,"53,927,064","56,698","34,582,254,327",643,645,638,641,-,12,"22,034,089","40,146,998","-18,112,909",0,0,0,"931,000","61,000","870,000","-691,981","852,000","1,549,000","-697,000","268,999","263,980","5,019","-17,934,890",29,8.01,1.56,109
20220126,2330,台積電,"33,093,553","35,647","21,089,251,429",635,641,635,636,-,5,"12,926,624","22,573,798","-9,647,174",0,0,0,"932,000","9,000","923,000","-70,496","321,000","860,902","-539,902","780,000","310,594","469,406","-8,794,670",28.78,7.94,1.57,109
20220207,2330,台積電,"64,637,049","43,774","41,221,401,027",644,644,631,635,-,1,"44,596,613","48,535,821","-3,939,208",0,0,0,"756,000","61,000","695,000","478,043","639,000","921,610","-282,610","854,000","93,347","760,653","-2,766,165",28.73,7.93,1.57,109
20220208,2330,台積電,"43,786,259","40,026","27,805,114,442",645,645,628,628,-,7,"22,296,434","31,038,318","-8,741,884",0,0,0,"911,000","26,000","885,000","124,852","404,000","429,993","-25,993","333,000","182,155","150,845","-7,732,032",28.42,7.84,1.59,109
20220209,2330,台積電,"33,633,394","29,746","21,289,086,984",635,637,630,633,+,5,"20,778,738","21,523,887","-745,149",0,0,0,"319,000","627,000","-308,000","1,470,540","1,887,000","1,206,075","680,925","792,000","2,385","789,615","417,391",28.64,7.91,1.58,109
20220210,2330,台積電,"37,388,892","28,452","24,028,303,016",639,649,637,649,+,16,"27,054,969","16,002,201","11,052,768",0,0,0,"141,000","25,750","115,250","-1,243,786","341,000","1,449,675","-1,108,675","132,995","268,106","-135,111","9,924,232",29.37,8.11,1.54,109
20220211,2330,台積電,"28,194,682","21,995","18,225,628,338",646,650,642,650,+,1,"19,522,255","16,275,127","3,247,128",0,0,0,"63,000","2,400","60,600","-117,118","208,500","182,410","26,090","7,000","150,208","-143,208","3,190,610",29.41,8.12,1.54,109
20220214,2330,台積電,"39,394,670","33,928","25,104,180,949",640,641,635,637,-,13,"24,433,817","29,988,035","-5,554,218",0,0,0,"735,000","25,000","710,000","3,208","378,000","273,189","104,811","115,000","216,603","-101,603","-4,841,010",28.82,7.96,1.57,109
20220215,2330,台積電,"24,497,955","31,907","15,556,533,655",633,639,633,633,-,4,"10,475,376","18,305,060","-7,829,684",0,0,0,"331,000",0,"331,000","-324,753","192,000","607,011","-415,011","174,994","84,736","90,258","-7,823,437",28.64,7.91,1.58,109
20220216,2330,台積電,"27,395,771","23,136","17,635,435,307",645,646,640,646,+,13,"18,075,809","14,864,451","3,211,358",0,0,0,"233,000",0,"233,000","-49,554","399,001","509,700","-110,699","214,999","153,854","61,145","3,394,804",29.23,8.07,1.55,109
20220217,2330,台積電,"20,447,347","16,116","13,171,026,165",644,646,641,645,-,1,"15,621,124","12,956,267","2,664,857",0,0,0,"116,000","36,000","80,000","322,772","455,880","226,000","229,880","124,331","31,439","92,892","3,067,629",29.19,8.06,1.55,109
20220218,2330,台積電,"21,948,975","23,892","13,997,433,486",638,639,636,637,-,8,"9,804,082","16,920,431","-7,116,349",0,0,0,"294,000","39,000","255,000","507,503","281,493","94,990","186,503","322,000","1,000","321,000","-6,353,846",28.82,7.96,1.57,109
20220221,2330,台積電,"25,769,408","41,961","16,320,629,980",633,636,632,632,-,5,"10,305,364","20,329,077","-10,023,713",0,0,0,"179,000","186,150","-7,150","328,739","206,400","237,400","-31,000","374,000","14,261","359,739","-9,702,124",28.6,7.89,1.58,109
20220222,2330,台積電,"38,526,210","68,303","24,153,923,316",628,630,625,627,-,5,"13,273,496","26,272,344","-12,998,848",0,0,0,"1,103,000","20,000","1,083,000","-933,387","208,149","943,453","-735,304","70,000","268,083","-198,083","-12,849,235",28.37,7.83,1.59,109
20220223,2330,台積電,"34,561,338","50,926","21,606,428,438",624,629,623,625,-,2,"8,265,370","27,445,645","-19,180,275",0,0,0,"286,000","12,000","274,000","1,492,119","1,125,095","223,974","901,121","671,998","81,000","590,998","-17,414,156",28.28,7.81,1.6,109
20220224,2330,台積電,"80,672,979","188,248","49,358,065,299",618,619,604,604,-,21,"16,388,907","62,054,944","-45,666,037",0,0,0,"1,080,000",0,"1,080,000","-611,929","804,126","1,569,516","-765,390","933,000","779,539","153,461","-45,197,966",27.33,7.54,1.66,109
20220225,2330,台積電,"94,155,943","129,776","56,880,320,916",600,609,600,604, ,0,"30,830,209","79,386,317","-48,556,108",0,0,0,"1,793,000","213,076","1,579,924","945,514","1,232,000","1,162,114","69,886","990,000","114,372","875,628","-46,030,670",26.25,7.22,1.66,109
20220301,2330,台積電,"70,303,880","67,439","42,445,208,215",599,610,599,604, ,0,"33,868,510","59,393,909","-25,525,399",0,0,0,"733,000","92,000","641,000","1,378,661","1,354,457","681,886","672,571","852,000","145,910","706,090","-23,505,738",26.25,7.22,1.66,109
20220302,2330,台積電,"42,428,151","58,916","25,528,700,277",601,605,600,601,-,3,"15,371,243","36,213,837","-20,842,594",0,0,0,"324,000",0,"324,000","1,110,188","1,225,617","292,021","933,596","394,000","217,408","176,592","-19,408,406",26.12,7.19,1.66,109
20220303,2330,台積電,"37,103,932","65,410","22,373,890,387",603,607,601,602,+,1,"14,882,090","31,241,764","-16,359,674",0,0,0,"235,000","158,000","77,000","75,500","195,000","225,510","-30,510","189,000","82,990","106,010","-16,207,174",26.16,7.2,1.66,109
20220304,2330,台積電,"65,235,167","206,731","38,833,099,256",595,597,592,595,-,7,"10,127,673","54,346,476","-44,218,803",0,0,0,"737,000","445,000","292,000","-1,085,109","361,642","1,023,500","-661,858","86,000","509,251","-423,251","-45,011,912",25.86,7.12,1.68,109
20220307,2330,台積電,"97,167,600","297,917","56,147,025,127",580,581,575,576,-,19,"10,750,471","70,082,803","-59,332,332",0,0,0,"2,672,000","332,000","2,340,000","-1,157,789","1,084,469","2,049,806","-965,337","1,131,000","1,323,452","-192,452","-58,150,121",25.03,6.89,1.74,109
20220308,2330,台積電,"88,371,413","269,695","49,908,147,901",561,570,561,563,-,13,"18,557,559","64,100,007","-45,542,448",0,0,0,"2,011,000",0,"2,011,000","170,587","966,000","2,154,890","-1,188,890","2,244,000","884,523","1,359,477","-43,360,861",24.47,6.73,1.78,109
