Date,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,外資買進股數,外資賣出股數,外資買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數,本益比,股價淨值比,殖利率,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商)
20130102,2330,台積電,"40,647,121","14,353","4,021,304,950",97.6,99.9,97.1,99.6,+,2.6,"22,484,489","8,625,316","13,859,173","1,746,000","147,000","1,599,000","-350,000","1,300,000","1,650,000","15,108,173",16.54,3.83,3.01,,,,,,,,,
20130103,2330,台積電,"44,335,846","12,616","4,472,175,100",100.5,102,100,101,+,1.4,"32,303,100","17,347,912","14,955,188","926,000","516,000","410,000","-1,067,000","1,512,000","2,579,000","14,298,188",16.78,3.88,2.97,,,,,,,,,
20130104,2330,台積電,"39,502,577","10,276","3,980,403,777",100.5,101.5,100,101.5,+,0.5,"33,581,806","24,337,195","9,244,611","234,000","190,000","44,000","-246,000","910,000","1,156,000","9,042,611",16.86,3.9,2.96,,,,,,,,,
20130107,2330,台積電,"42,328,657","9,042","4,237,769,552",101,101,99.1,100.5,-,1,"26,613,000","26,952,300","-339,300","203,000","925,000","-722,000","-450,000","871,000","1,321,000","-1,511,300",16.69,3.86,2.99,,,,,,,,,
20130108,2330,台積電,"31,218,717","9,463","3,100,841,808",99.6,100,98.9,99.7,-,0.8,"16,628,200","15,087,374","1,540,826","209,000","635,000","-426,000","-80,000","749,000","829,000","1,034,826",16.56,3.83,3.01,,,,,,,,,
20130109,2330,台積電,"26,417,262","7,616","2,638,483,776",100.5,100.5,99.2,100,+,0.3,"16,348,023","10,594,316","5,753,707","130,000","243,000","-113,000","649,000","1,033,000","384,000","6,289,707",16.61,3.84,3,,,,,,,,,
20130110,2330,台積電,"41,234,333","8,304","4,133,510,035",99.9,101,99.5,101,+,1,"30,684,000","27,766,853","2,917,147","151,000","163,000","-12,000","796,000","1,045,000","249,000","3,701,147",16.78,3.88,2.97,,,,,,,,,
20130111,2330,台積電,"22,993,851","7,982","2,319,676,468",101.5,101.5,100.5,101, ,0,"18,831,186","10,635,515","8,195,671","102,000","352,000","-250,000","-69,000","262,000","331,000","7,876,671",16.78,3.88,2.97,,,,,,,,,
20130114,2330,台積電,"23,575,867","6,414","2,375,656,925",101,102,100,102,+,1,"19,081,000","10,716,350","8,364,650","120,000",0,"120,000","-33,000","475,000","508,000","8,451,650",16.94,3.92,2.94,,,,,,,,,
20130115,2330,台積電,"36,015,126","10,021","3,620,754,003",102,102,99.8,100.5,-,1.5,"26,503,958","27,884,661","-1,380,703","300,000","499,000","-199,000","-253,000","826,000","1,079,000","-1,832,703",16.69,3.86,2.99,,,,,,,,,
20130116,2330,台積電,"35,496,359","8,742","3,543,926,150",100.5,100.5,99.2,99.2,-,1.3,"24,600,054","24,029,840","570,214","39,000","4,272,000","-4,233,000","837,000","1,181,000","344,000","-2,825,786",16.48,3.81,3.02,,,,,,,,,
20130117,2330,台積電,"40,526,293","9,034","4,042,971,250",100.5,101,98.5,99.3,+,0.1,"30,502,500","28,912,733","1,589,767","696,000","404,586","291,414","-695,000","803,000","1,498,000","1,186,181",16.5,3.82,3.02,,,,,,,,,
20130118,2330,台積電,"49,874,215","11,823","5,045,047,215",101.5,101.5,100.5,101.5,+,2.2,"42,034,278","20,184,000","21,850,278","732,000","1,475,000","-743,000","-312,000","2,577,000","2,889,000","20,795,278",16.86,3.9,2.96,,,,,,,,,
20130121,2330,台積電,"17,310,236","5,625","1,738,509,600",101,101,100,100.5,-,1,"10,863,700","12,231,817","-1,368,117","591,000","617,000","-26,000","279,000","941,000","662,000","-1,115,117",16.69,3.86,2.99,,,,,,,,,
20130122,2330,台積電,"21,946,618","5,388","2,205,121,218",101,101,99.9,101,+,0.5,"18,759,000","15,376,144","3,382,856","476,000","184,000","292,000","65,000","452,000","387,000","3,739,856",16.78,3.88,2.97,,,,,,,,,
20130123,2330,台積電,"30,821,432","7,292","3,111,421,288",101.5,101.5,100,101, ,0,"28,841,000","23,924,717","4,916,283","112,000","332,000","-220,000","-56,000","503,000","559,000","4,640,283",16.78,3.88,2.97,,,,,,,,,
20130124,2330,台積電,"40,653,209","8,257","4,059,542,810",100,100.5,99.2,99.9,-,1.1,"23,209,130","34,795,226","-11,586,096","211,000","293,000","-82,000","-1,015,000","896,000","1,911,000","-12,683,096",16.59,3.84,3,,,,,,,,,
20130125,2330,台積電,"48,674,849","11,885","4,801,805,861",99.9,99.9,98,99,-,0.9,"29,776,410","40,988,523","-11,212,113","16,000","1,254,000","-1,238,000","437,000","1,034,000","597,000","-12,013,113",16.45,3.8,3.03,,,,,,,,,
20130128,2330,台積電,"29,190,978","7,200","2,893,310,122",98.7,99.5,98.6,99.3,+,0.3,"20,373,000","24,455,000","-4,082,000","125,000","17,000","108,000","-622,000","795,000","1,417,000","-4,596,000",16.5,3.82,3.02,,,,,,,,,
20130129,2330,台積電,"36,060,537","12,071","3,624,866,512",100,101.5,99.7,101,+,1.7,"28,873,900","18,836,424","10,037,476",0,"483,000","-483,000","-3,081,000","193,000","3,274,000","6,473,476",16.78,3.88,2.97,,,,,,,,,
20130130,2330,台積電,"28,862,623","6,963","2,923,728,423",102,102,100.5,101.5,+,0.5,"26,626,677","16,473,684","10,152,993",0,"80,000","-80,000","-1,210,000","395,000","1,605,000","8,862,993",16.86,3.9,2.96,,,,,,,,,
20130131,2330,台積電,"42,489,565","6,481","4,266,277,265",100.5,101.5,100,101.5, ,0,"38,165,744","37,758,248","407,496","135,000","63,000","72,000","-1,096,000","359,000","1,455,000","-616,504",16.86,3.9,2.96,,,,,,,,,
20130201,2330,台積電,"23,211,035","7,596","2,343,091,003",101.5,101.5,100.5,101.5, ,0,"22,116,126","18,066,272","4,049,854",0,"327,000","-327,000","-83,000","162,000","245,000","3,639,854",16.86,3.9,2.96,,,,,,,,,
20130204,2330,台積電,"35,257,079","10,873","3,618,099,182",102,103,102,103,+,1.5,"31,299,000","16,660,672","14,638,328","57,000","1,924,000","-1,867,000","-6,000","1,004,000","1,010,000","12,765,328",17.11,3.96,2.91,,,,,,,,,
20130205,2330,台積電,"17,896,471","5,200","1,832,150,196",103,103,101.5,103, ,0,"13,254,000","9,299,025","3,954,975","130,000","825,000","-695,000","-204,000","472,000","676,000","3,055,975",17.11,3.96,2.91,,,,,,,,,
20130206,2330,台積電,"32,330,330","9,340","3,369,267,370",103.5,105,103,105,+,2,"27,512,333","12,025,604","15,486,729","109,000","426,000","-317,000","-3,293,000","430,000","3,723,000","11,876,729",17.44,4.04,2.86,,,,,,,,,
20130218,2330,台積電,"64,345,580","13,470","6,895,059,371",107,108.5,106.5,107,+,2,"57,660,600","38,638,413","19,022,187","264,000","910,000","-646,000","-2,425,000","641,000","3,066,000","15,951,187",17.77,4.11,2.8,,,,,,,,,
20130219,2330,台積電,"22,103,657","6,114","2,372,380,213",108.5,108.5,106.5,107, ,0,"16,813,000","12,053,866","4,759,134","320,000","349,000","-29,000","-1,105,000","552,000","1,657,000","3,625,134",17.77,4.11,2.8,,,,,,,,,
20130220,2330,台積電,"41,921,556","10,171","4,558,604,798",108.5,109.5,108,109,+,2,"36,414,295","22,776,688","13,637,607","104,000","560,000","-456,000","-1,862,000","597,000","2,459,000","11,319,607",18.11,4.19,2.75,,,,,,,,,
20130221,2330,台積電,"30,551,806","7,485","3,287,642,271",108.5,108.5,107,107,-,2,"26,165,042","24,032,974","2,132,068",0,"1,182,000","-1,182,000","-926,000","392,000","1,318,000","24,068",17.77,4.11,2.8,,,,,,,,,
20130222,2330,台積電,"39,577,666","10,313","4,188,440,636",106,106.5,105,105.5,-,1.5,"22,165,000","35,973,961","-13,808,961","52,000","161,000","-109,000","1,505,872","2,355,000","849,128","-12,412,089",17.52,4.05,2.84,,,,,,,,,
20130223,2330,台積電,"10,174,533","3,022","1,083,855,709",106.5,107.5,106,107,+,1.5,"4,162,000","26,000","4,136,000","102,000","771,000","-669,000","-592,000","519,000","1,111,000","2,875,000",17.77,4.11,2.8,,,,,,,,,
20130225,2330,台積電,"37,216,683","8,564","3,938,987,715",106.5,107,105,105,-,2,"25,151,000","29,236,375","-4,085,375","500,000","59,000","441,000","-369,000","778,000","1,147,000","-4,013,375",17.44,4.04,2.86,,,,,,,,,
20130226,2330,台積電,"38,498,610","9,572","4,006,611,594",103.5,105,102.5,103.5,-,1.5,"19,485,000","28,264,665","-8,779,665","530,000","491,000","39,000","136,000","1,048,000","912,000","-8,604,665",17.19,3.71,2.9,,,,,,,,,
20130227,2330,台積電,"81,358,059","13,654","8,385,327,394",102,104.5,101,104.5,+,1,"36,511,958","63,218,367","-26,706,409","774,000","1,666,000","-892,000","1,712,000","2,451,000","739,000","-25,886,409",16.3,3.75,2.87,,,,,,,,,
20130301,2330,台積電,"35,081,170","9,263","3,651,664,826",103,105,102.5,105,+,0.5,"24,173,500","27,303,560","-3,130,060",0,"1,408,000","-1,408,000","-191,000","1,118,000","1,309,000","-4,729,060",16.38,3.76,2.86,,,,,,,,,
20130304,2330,台積電,"55,265,946","11,896","5,652,060,892",104.5,104.5,101.5,102,-,3,"26,640,200","46,764,000","-20,123,800",0,"2,313,050","-2,313,050","2,538,585","2,732,000","193,415","-19,898,265",15.91,3.66,2.94,,,,,,,,,
20130305,2330,台積電,"56,213,527","9,603","5,798,480,893",103.5,104,102.5,104,+,2,"46,530,666","43,036,674","3,493,992","825,000","1,852,675","-1,027,675","-1,411,000","893,000","2,304,000","1,055,317",16.22,3.73,2.88,,,,,,,,,
20130306,2330,台積電,"38,026,322","6,844","3,944,092,785",104,104.5,103,104, ,0,"33,701,642","29,780,531","3,921,111","100,000","782,000","-682,000","-746,000","495,000","1,241,000","2,493,111",16.22,3.73,2.88,,,,,,,,,
20130307,2330,台積電,"20,783,572","6,812","2,150,594,416",103.5,104,103,103,-,1,"15,121,600","14,218,966","902,634","40,000","1,100,000","-1,060,000","-496,000","498,000","994,000","-653,366",16.07,3.69,2.91,,,,,,,,,
20130308,2330,台積電,"46,036,003","8,598","4,753,123,583",103,104.5,102,103.5,+,0.5,"36,098,100","27,388,375","8,709,725","344,000","3,462,000","-3,118,000","-1,613,000","769,000","2,382,000","3,978,725",16.15,3.71,2.9,,,,,,,,,
20130311,2330,台積電,"36,093,271","9,071","3,706,837,142",102,104,102,102,-,1.5,"20,489,000","27,564,113","-7,075,113",0,"1,616,000","-1,616,000","-392,000","1,158,000","1,550,000","-9,083,113",15.91,3.66,2.94,,,,,,,,,
20130312,2330,台積電,"30,064,912","6,294","3,075,447,024",102,103,101.5,102.5,+,0.5,"21,646,385","18,670,062","2,976,323","40,000","3,137,000","-3,097,000","-72,000","556,000","628,000","-192,677",15.99,3.67,2.93,,,,,,,,,
20130313,2330,台積電,"57,955,306","9,978","6,009,069,324",102.5,105,102,104.5,+,2,"50,713,000","41,194,183","9,518,817","50,000","1,375,000","-1,325,000","-2,560,001","513,000","3,073,001","5,633,816",16.3,3.75,2.87,,,,,,,,,
20130314,2330,台積電,"33,067,465","7,022","3,435,727,588",104,104.5,103,104,-,0.5,"22,627,800","26,008,336","-3,380,536","281,000","617,899","-336,899","-2,014,000","329,000","2,343,000","-5,731,435",16.22,3.73,2.88,,,,,,,,,
20130315,2330,台積電,"35,632,988","6,030","3,696,617,211",105,105,103,103,-,1,"21,338,244","28,450,955","-7,112,711","4,935,000","119,000","4,816,000","-1,895,000","562,000","2,457,000","-4,191,711",16.07,3.69,2.91,,,,,,,,,
20130318,2330,台積電,"44,188,807","11,128","4,472,705,507",102,102,100.5,100.5,-,2.5,"11,971,000","38,735,855","-26,764,855","239,000","390,000","-151,000","431,000","1,513,000","1,082,000","-26,484,855",15.68,3.6,2.99,,,,,,,,,
20130319,2330,台積電,"50,765,167","11,099","5,104,261,200",101,101.5,99.6,100,-,0.5,"16,753,000","42,771,603","-26,018,603","73,000","1,983,000","-1,910,000","-190,000","825,000","1,015,000","-28,118,603",15.6,3.58,3,,,,,,,,,
20130320,2330,台積電,"64,024,225","13,861","6,344,606,455",99.5,99.5,98.8,98.8,-,1.2,"23,986,586","56,627,727","-32,641,141","32,000","330,000","-298,000","779,000","2,171,000","1,392,000","-32,160,141",15.41,3.54,3.04,,,,,,,,,
20130321,2330,台積電,"58,467,748","13,448","5,799,884,434",98.8,100.5,98.7,98.7,-,0.1,"21,982,930","50,181,799","-28,198,869","920,000","1,305,000","-385,000","1,400,000","2,891,000","1,491,000","-27,183,869",15.4,3.54,3.04,,,,,,,,,
20130322,2330,台積電,"44,937,030","12,072","4,420,118,840",98.6,99.1,98,98,-,0.7,"12,341,000","35,107,077","-22,766,077","210,000","1,956,000","-1,746,000","-66,000","1,354,000","1,420,000","-24,578,077",15.29,3.51,3.06,,,,,,,,,
20130325,2330,台積電,"25,469,505","7,606","2,540,453,602",99.9,100.5,99.2,99.5,+,1.5,"16,990,000","13,559,895","3,430,105",0,"289,000","-289,000","-943,000","330,000","1,273,000","2,198,105",15.52,3.57,3.02,,,,,,,,,
20130326,2330,台積電,"27,220,058","8,019","2,698,733,342",99.2,99.4,98.8,99,-,0.5,"14,581,749","23,509,905","-8,928,156","104,000","1,209,000","-1,105,000","153,000","490,000","337,000","-9,880,156",15.44,3.55,3.03,,,,,,,,,
20130327,2330,台積電,"29,969,023","7,304","2,992,059,750",99,100.5,98.8,100.5,+,1.5,"20,269,000","20,099,374","169,626","127,000","1,452,000","-1,325,000","-1,622,000","226,000","1,848,000","-2,777,374",15.68,3.6,2.99,,,,,,,,,
20130328,2330,台積電,"29,558,310","7,232","2,945,126,900",100,100.5,99.3,100,-,0.5,"18,962,995","24,480,344","-5,517,349",0,"296,000","-296,000","-1,115,000","751,000","1,866,000","-6,928,349",15.6,3.58,3,,,,,,,,,
20130329,2330,台積電,"19,003,253","5,024","1,907,250,000",100,101,99.8,100.5,+,0.5,"13,477,000","13,009,306","467,694","46,000","407,000","-361,000","-89,000","411,000","500,000","17,694",15.68,3.6,2.99,,,,,,,,,
20130401,2330,台積電,"16,374,716","4,450","1,657,592,413",101,102,100.5,101,+,0.5,"10,740,060","8,945,000","1,795,060","70,000","670,000","-600,000","-521,000","394,000","915,000","674,060",15.76,3.62,2.97,,,,,,,,,
20130402,2330,台積電,"22,334,113","6,500","2,242,499,100",100.5,101,99.8,100.5,-,0.5,"13,627,300","20,167,060","-6,539,760","163,000","188,000","-25,000","-306,000","315,000","621,000","-6,870,760",15.68,3.6,2.99,,,,,,,,,
20130403,2330,台積電,"27,097,381","6,886","2,731,161,500",101.5,101.5,100,100.5, ,0,"20,627,682","23,412,617","-2,784,935","200,000","423,000","-223,000","-877,000","48,000","925,000","-3,884,935",15.68,3.6,2.99,,,,,,,,,
20130408,2330,台積電,"58,367,917","11,496","5,768,632,279",99,99.5,98.5,98.5,-,2,"37,478,980","53,306,944","-15,827,964","58,000","135,000","-77,000","612,000","1,427,000","815,000","-15,292,964",15.37,3.53,3.05,,,,,,,,,
20130409,2330,台積電,"41,316,418","10,389","4,045,349,536",98,98.5,97.5,97.5,-,1,"16,017,671","39,278,217","-23,260,546","645,000","62,000","583,000","1,166,749","1,519,000","352,251","-21,510,797",15.21,3.49,3.08,,,,,,,,,
20130410,2330,台積電,"36,746,778","7,197","3,604,766,222",98.8,98.8,97.7,98.3,+,0.8,"22,518,723","34,704,937","-12,186,214","674,000",0,"674,000","409,000","914,000","505,000","-11,103,214",15.34,3.52,3.05,,,,,,,,,
20130411,2330,台積電,"57,867,486","12,430","5,799,700,086",99,101.5,98.8,101.5,+,3.2,"42,652,292","39,732,374","2,919,918","1,048,000","1,131,000","-83,000","1,440,000","3,797,000","2,357,000","4,276,918",15.83,3.64,2.96,,,,,,,,,
20130412,2330,台積電,"19,568,004","5,602","1,968,624,772",101.5,101.5,100,100.5,-,1,"15,140,000","14,880,565","259,435","66,000",0,"66,000","-961,000","313,000","1,274,000","-635,565",15.68,3.6,2.99,,,,,,,,,
20130415,2330,台積電,"23,440,616","6,275","2,343,267,705",100.5,101,99.1,99.4,-,1.1,"14,837,846","18,298,300","-3,460,454","207,000","799,000","-592,000","284,000","1,226,000","942,000","-3,768,454",15.51,3.56,3.02,,,,,,,,,
20130416,2330,台積電,"35,918,924","8,309","3,576,311,040",98.2,101,98.2,100.5,+,1.1,"26,345,098","28,525,427","-2,180,329","83,000","608,000","-525,000","1,511,000","2,403,000","892,000","-1,194,329",15.68,3.6,2.99,,,,,,,,,
20130417,2330,台積電,"35,897,101","7,663","3,598,786,346",101.5,101.5,99.7,100,-,0.5,"31,222,000","30,446,996","775,004","232,000","215,164","16,836","-473,000","958,000","1,431,000","318,840",15.6,3.58,3,,,,,,,,,
20130418,2330,台積電,"33,083,804","7,209","3,316,064,572",100,101,99.4,99.9,-,0.1,"23,297,000","27,942,054","-4,645,054",0,"401,000","-401,000","1,172,000","1,818,000","646,000","-3,874,054",15.59,3.58,3,,,,,,,,,
20130419,2330,台積電,"66,950,314","15,197","7,110,036,743",105.5,106.5,105.5,106.5,+,6.6,"34,804,000","17,785,895","17,018,105","4,394,000","400,000","3,994,000","684,000","2,983,000","2,299,000","21,696,105",16.61,3.82,2.82,,,,,,,,,
20130422,2330,台積電,"72,502,228","16,146","7,859,371,624",108.5,109.5,107.5,108.5,+,2,"57,421,000","39,552,000","17,869,000","2,657,499","208,000","2,449,499","-151,000","2,234,000","2,385,000","20,167,499",16.93,3.89,2.76,,,,,,,,,
20130423,2330,台積電,"46,146,072","10,405","4,903,358,892",106.5,107.5,105.5,106,-,2.5,"34,513,000","36,318,175","-1,805,175","460,000","609,000","-149,000","1,542,000","2,032,000","490,000","-412,175",16.54,3.8,2.83,,,,,,,,,
20130424,2330,台積電,"35,495,750","10,908","3,753,132,000",106.5,107,104.5,106, ,0,"23,776,000","24,756,785","-980,785","130,000","12,000","118,000","1,633,000","2,488,000","855,000","770,215",16.54,3.8,2.83,,,,,,,,,
20130425,2330,台積電,"26,287,666","7,044","2,792,181,370",106,107,105.5,107,+,1,"18,790,000","11,384,502","7,405,498","424,000","396,000","28,000","-729,000","1,010,000","1,739,000","6,704,498",16.69,3.84,2.8,,,,,,,,,
20130426,2330,台積電,"36,776,724","11,735","3,975,714,992",107,109,107,108.5,+,1.5,"31,537,000","13,197,700","18,339,300","408,000","762,000","-354,000","-2,391,000","1,396,000","3,787,000","15,594,300",16.93,3.89,2.76,,,,,,,,,
20130429,2330,台積電,"21,092,377","6,502","2,279,129,984",108.5,108.5,107.5,108,-,0.5,"18,007,000","10,854,150","7,152,850","60,000","257,000","-197,000","-389,000","399,000","788,000","6,566,850",16.85,3.87,2.78,,,,,,,,,
20130430,2330,台積電,"34,612,725","10,732","3,772,841,445",108.5,109.5,108.5,109.5,+,1.5,"30,762,044","19,227,249","11,534,795","306,000","728,000","-422,000","609,000","1,031,000","422,000","11,721,795",17.08,3.92,2.74,,,,,,,,,
20130502,2330,台積電,"38,796,887","10,471","4,272,592,070",110,111,109,110.5,+,1,"35,052,262","16,950,720","18,101,542","211,000","189,000","22,000","-1,525,000","941,000","2,466,000","16,598,542",17.24,3.96,2.71,,,,,,,,,
20130503,2330,台積電,"36,621,737","9,832","4,072,080,617",111.5,112.5,110,110,-,0.5,"29,338,735","23,087,758","6,250,977","210,000","291,000","-81,000","-3,059,000","919,000","3,978,000","3,110,977",17.16,3.94,2.73,,,,,,,,,
20130506,2330,台積電,"19,393,798","6,706","2,156,914,078",111.5,111.5,110.5,111.5,+,1.5,"17,494,806","8,125,447","9,369,359","236,000","387,000","-151,000","-2,016,000","496,000","2,512,000","7,202,359",17.39,4,2.69,,,,,,,,,
20130507,2330,台積電,"22,448,180","7,353","2,521,248,290",112,113,111,112.5,+,1,"20,309,500","10,754,736","9,554,764",0,"355,000","-355,000","-362,000","303,000","665,000","8,837,764",17.55,4.03,2.67,,,,,,,,,
20130508,2330,台積電,"42,509,709","11,870","4,842,348,356",112.5,115,112.5,114.5,+,2,"37,784,407","20,923,209","16,861,198","6,000","307,000","-301,000","-936,000","954,000","1,890,000","15,624,198",17.86,4.1,2.62,,,,,,,,,
20130509,2330,台積電,"27,606,177","9,101","3,186,565,567",116,116,114.5,115,+,0.5,"21,034,804","12,639,529","8,395,275","2,199,000","284,000","1,915,000","1,000","758,000","757,000","10,311,275",17.94,4.12,2.61,,,,,,,,,
20130510,2330,台積電,"27,536,736","7,521","3,146,083,904",115,115,113.5,114.5,-,0.5,"23,920,569","12,432,139","11,488,430",0,"999,000","-999,000","-15,000","583,000","598,000","10,474,430",17.86,4.1,2.62,,,,,,,,,
20130513,2330,台積電,"18,263,266","3,993","2,094,696,397",115,115.5,114,114.5, ,0,"15,756,600","4,253,384","11,503,216",0,"315,000","-315,000","-1,091,000","388,000","1,479,000","10,097,216",17.86,4.1,2.62,,,,,,,,,
20130514,2330,台積電,"27,855,127","7,881","3,224,146,605",115.5,116.5,115,115.5,+,1,"24,513,009","6,748,810","17,764,199","1,000","1,473,999","-1,472,999","-802,000","335,000","1,137,000","15,489,200",18.02,4.14,2.6,,,,,,,,,
20130515,2330,台積電,"29,107,560","6,849","3,338,273,993",115,116,113.5,115,-,0.5,"22,004,000","19,929,533","2,074,467","50,000","664,000","-614,000","1,687,410","2,168,410","481,000","3,147,877",17.94,3.89,2.61,,,,,,,,,
20130516,2330,台積電,"45,770,439","10,033","5,227,824,787",115,116,113,113.5,-,1.5,"32,527,734","37,294,324","-4,766,590",0,"525,000","-525,000","1,677,000","2,494,000","817,000","-3,614,590",17.09,3.84,2.64,,,,,,,,,
20130517,2330,台積電,"19,316,452","6,145","2,177,150,076",112,113.5,111.5,113.5, ,0,"14,069,000","9,965,151","4,103,849",0,"534,000","-534,000","206,000","1,319,000","1,113,000","3,775,849",17.09,3.84,2.64,,,,,,,,,
20130520,2330,台積電,"16,882,054","4,897","1,911,454,937",112.5,114,112.5,114,+,0.5,"13,711,686","10,759,662","2,952,024",0,"311,000","-311,000","-411,000","510,000","921,000","2,230,024",17.17,3.86,2.63,,,,,,,,,
20130521,2330,台積電,"17,238,193","5,038","1,941,365,116",113,113.5,112,112.5,-,1.5,"10,970,604","11,415,081","-444,477",0,"416,000","-416,000","940,000","1,815,000","875,000","79,523",16.94,3.81,2.67,,,,,,,,,
20130522,2330,台積電,"34,068,421","8,462","3,821,447,086",112.5,113.5,111,112,-,0.5,"24,943,360","29,835,971","-4,892,611",0,"421,000","-421,000","779,000","1,631,000","852,000","-4,534,611",16.87,3.79,2.68,,,,,,,,,
