DateTime,Date,Volume,Transaction,Value,Open,High,Low,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet,PE-Ratio,PBR,Yield,Close
2013-01-02,20130102,40647121,14353,4021304950,97.6,99.9,97.1,+,2.6,22484489.0,8625316.0,13859173.0,1746000,147000,1599000,-350000,1300000.0,1650000.0,15108173,16.54,3.83,3.01,99.6
2013-01-03,20130103,44335846,12616,4472175100,100.5,102.0,100.0,+,1.4,32303100.0,17347912.0,14955188.0,926000,516000,410000,-1067000,1512000.0,2579000.0,14298188,16.78,3.88,2.97,101.0
2013-01-04,20130104,39502577,10276,3980403777,100.5,101.5,100.0,+,0.5,33581806.0,24337195.0,9244611.0,234000,190000,44000,-246000,910000.0,1156000.0,9042611,16.86,3.9,2.96,101.5
2013-01-07,20130107,42328657,9042,4237769552,101.0,101.0,99.1,-,1.0,26613000.0,26952300.0,-339300.0,203000,925000,-722000,-450000,871000.0,1321000.0,-1511300,16.69,3.86,2.99,100.5
2013-01-08,20130108,31218717,9463,3100841808,99.6,100.0,98.9,-,0.8,16628200.0,15087374.0,1540826.0,209000,635000,-426000,-80000,749000.0,829000.0,1034826,16.56,3.83,3.01,99.7
2013-01-09,20130109,26417262,7616,2638483776,100.5,100.5,99.2,+,0.3,16348023.0,10594316.0,5753707.0,130000,243000,-113000,649000,1033000.0,384000.0,6289707,16.61,3.84,3.0,100.0
2013-01-10,20130110,41234333,8304,4133510035,99.9,101.0,99.5,+,1.0,30684000.0,27766853.0,2917147.0,151000,163000,-12000,796000,1045000.0,249000.0,3701147,16.78,3.88,2.97,101.0
2013-01-11,20130111,22993851,7982,2319676468,101.5,101.5,100.5, ,0.0,18831186.0,10635515.0,8195671.0,102000,352000,-250000,-69000,262000.0,331000.0,7876671,16.78,3.88,2.97,101.0
2013-01-14,20130114,23575867,6414,2375656925,101.0,102.0,100.0,+,1.0,19081000.0,10716350.0,8364650.0,120000,0,120000,-33000,475000.0,508000.0,8451650,16.94,3.92,2.94,102.0
2013-01-15,20130115,36015126,10021,3620754003,102.0,102.0,99.8,-,1.5,26503958.0,27884661.0,-1380703.0,300000,499000,-199000,-253000,826000.0,1079000.0,-1832703,16.69,3.86,2.99,100.5
2013-01-16,20130116,35496359,8742,3543926150,100.5,100.5,99.2,-,1.3,24600054.0,24029840.0,570214.0,39000,4272000,-4233000,837000,1181000.0,344000.0,-2825786,16.48,3.81,3.02,99.2
2013-01-17,20130117,40526293,9034,4042971250,100.5,101.0,98.5,+,0.1,30502500.0,28912733.0,1589767.0,696000,404586,291414,-695000,803000.0,1498000.0,1186181,16.5,3.82,3.02,99.3
2013-01-18,20130118,49874215,11823,5045047215,101.5,101.5,100.5,+,2.2,42034278.0,20184000.0,21850278.0,732000,1475000,-743000,-312000,2577000.0,2889000.0,20795278,16.86,3.9,2.96,101.5
2013-01-21,20130121,17310236,5625,1738509600,101.0,101.0,100.0,-,1.0,10863700.0,12231817.0,-1368117.0,591000,617000,-26000,279000,941000.0,662000.0,-1115117,16.69,3.86,2.99,100.5
2013-01-22,20130122,21946618,5388,2205121218,101.0,101.0,99.9,+,0.5,18759000.0,15376144.0,3382856.0,476000,184000,292000,65000,452000.0,387000.0,3739856,16.78,3.88,2.97,101.0
2013-01-23,20130123,30821432,7292,3111421288,101.5,101.5,100.0, ,0.0,28841000.0,23924717.0,4916283.0,112000,332000,-220000,-56000,503000.0,559000.0,4640283,16.78,3.88,2.97,101.0
2013-01-24,20130124,40653209,8257,4059542810,100.0,100.5,99.2,-,1.1,23209130.0,34795226.0,-11586096.0,211000,293000,-82000,-1015000,896000.0,1911000.0,-12683096,16.59,3.84,3.0,99.9
2013-01-25,20130125,48674849,11885,4801805861,99.9,99.9,98.0,-,0.9,29776410.0,40988523.0,-11212113.0,16000,1254000,-1238000,437000,1034000.0,597000.0,-12013113,16.45,3.8,3.03,99.0
2013-01-28,20130128,29190978,7200,2893310122,98.7,99.5,98.6,+,0.3,20373000.0,24455000.0,-4082000.0,125000,17000,108000,-622000,795000.0,1417000.0,-4596000,16.5,3.82,3.02,99.3
2013-01-29,20130129,36060537,12071,3624866512,100.0,101.5,99.7,+,1.7,28873900.0,18836424.0,10037476.0,0,483000,-483000,-3081000,193000.0,3274000.0,6473476,16.78,3.88,2.97,101.0
2013-01-30,20130130,28862623,6963,2923728423,102.0,102.0,100.5,+,0.5,26626677.0,16473684.0,10152993.0,0,80000,-80000,-1210000,395000.0,1605000.0,8862993,16.86,3.9,2.96,101.5
2013-01-31,20130131,42489565,6481,4266277265,100.5,101.5,100.0, ,0.0,38165744.0,37758248.0,407496.0,135000,63000,72000,-1096000,359000.0,1455000.0,-616504,16.86,3.9,2.96,101.5
2013-02-01,20130201,23211035,7596,2343091003,101.5,101.5,100.5, ,0.0,22116126.0,18066272.0,4049854.0,0,327000,-327000,-83000,162000.0,245000.0,3639854,16.86,3.9,2.96,101.5
2013-02-04,20130204,35257079,10873,3618099182,102.0,103.0,102.0,+,1.5,31299000.0,16660672.0,14638328.0,57000,1924000,-1867000,-6000,1004000.0,1010000.0,12765328,17.11,3.96,2.91,103.0
2013-02-05,20130205,17896471,5200,1832150196,103.0,103.0,101.5, ,0.0,13254000.0,9299025.0,3954975.0,130000,825000,-695000,-204000,472000.0,676000.0,3055975,17.11,3.96,2.91,103.0
2013-02-06,20130206,32330330,9340,3369267370,103.5,105.0,103.0,+,2.0,27512333.0,12025604.0,15486729.0,109000,426000,-317000,-3293000,430000.0,3723000.0,11876729,17.44,4.04,2.86,105.0
