Date,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
20230103,2330,台積電,"15,311,364","22,581","6,871,973,708",446,453.5,443,453,+,4.5,"6,991,006","8,025,553","-1,034,547",0,0,0,"279,000","50,000","229,000","-53,721","271,000","644,000","-373,000","490,224","170,945","319,279","-859,268"
20230104,2330,台積電,"20,626,874","18,233","9,310,050,329",449.5,455,448.5,449.5,-,3.5,"13,244,062","16,204,714","-2,960,652",0,0,0,"263,000",0,"263,000","993,599","400,000","84,000","316,000","720,424","42,825","677,599","-1,704,053"
20230105,2330,台積電,"23,972,099","20,752","10,972,616,269",459,459.5,455,458.5,+,9,"19,127,314","12,401,343","6,725,971",0,0,0,"114,000","131,000","-17,000","-634,540","161,050","974,000","-812,950","289,448","111,038","178,410","6,074,431"
20230106,2330,台積電,"21,313,593","16,635","9,745,142,549",455,459.5,455,458.5, ,0,"13,754,342","9,561,076","4,193,266",0,0,0,"337,000","3,000","334,000","1,782,215","535,000","24,000","511,000","1,314,094","42,879","1,271,215","6,309,481"
20230109,2330,台積電,"49,186,355","57,305","23,352,375,299",468,481,467.5,481,+,22.5,"38,048,379","8,985,798","29,062,581",0,0,0,"555,000","33,332","521,668","991,152","365,000","463,000","-98,000","1,199,152","110,000","1,089,152","30,575,401"
20230110,2330,台積電,"34,785,370","36,975","16,867,391,241",486,487,483,486,+,5,"25,821,744","12,423,614","13,398,130",0,0,0,"597,000","83,378","513,622","-615,729","380,000","859,000","-479,000","108,271","245,000","-136,729","13,296,023"
20230111,2330,台積電,"21,749,124","25,457","10,531,314,878",487,488,482,484.5,-,1.5,"11,953,051","12,067,119","-114,068",0,0,0,"136,000","35,000","101,000","1,134,901","439,000","169,009","269,991","1,521,910","657,000","864,910","1,121,833"
20230112,2330,台積電,"22,416,984","25,780","10,901,640,739",487.5,488,484,486.5,+,2,"14,970,571","9,671,596","5,298,975",0,0,0,"507,077","61,000","446,077","555,645","524,264","272,000","252,264","394,510","91,129","303,381","6,300,697"
20230113,2330,台積電,"81,848,755","93,121","41,113,175,651",507,509,499,500,+,13.5,"63,163,472","14,137,289","49,026,183",0,0,0,"1,249,000","51,000","1,198,000","516,717","1,263,099","879,000","384,099","775,618","643,000","132,618","50,740,900"
20230116,2330,台積電,"38,781,925","48,051","19,573,968,332",506,508,503,505,+,5,"31,958,707","13,019,953","18,938,754",0,0,0,"75,000","467,238","-392,238","171,840","325,000","119,000","206,000","170,840","205,000","-34,160","18,718,356"
20230117,2330,台積電,"29,443,522","27,930","14,784,661,794",504,504,499.5,503,-,2,"21,110,197","10,150,520","10,959,677",0,0,0,"370,000","4,912,411","-4,542,411","696,583","682,000","206,000","476,000","350,583","130,000","220,583","7,113,849"
20230130,2330,台積電,"148,413,161","153,125","80,057,158,264",542,543,534,543,+,40,"133,236,588","52,595,539","80,641,049",0,0,0,"1,032,000","94,327","937,673","880,408","978,000","537,000","441,000","1,227,511","788,103","439,408","82,459,130"
20230131,2330,台積電,"79,212,272","74,279","41,736,937,234",537,538,521,522,-,21,"49,636,797","62,679,981","-13,043,184",0,0,0,"423,000","180,605","242,395","2,514,598","1,955,000","135,000","1,820,000","764,025","69,427","694,598","-10,286,191"
20230201,2330,台積電,"42,539,626","31,487","22,450,948,467",532,533,522,530,+,8,"33,633,779","24,379,046","9,254,733",0,0,0,"243,000","279,042","-36,042","439,039","559,000","179,000","380,000","355,131","296,092","59,039","9,657,730"
20230202,2330,台積電,"46,523,592","45,495","25,091,483,557",538,542,537,540,+,10,"38,645,223","17,776,097","20,869,126",0,0,0,"413,000","390,602","22,398","-710,818","150,000","759,000","-609,000","258,182","360,000","-101,818","20,180,706"
20230203,2330,台積電,"34,156,234","39,674","18,439,613,447",540,542,536,542,+,2,"26,544,199","10,487,564","16,056,635",0,0,0,"16,000","535,262","-519,262","-152,827","215,000","305,000","-90,000","247,163","309,990","-62,827","15,384,546"
20230206,2330,台積電,"32,208,918","46,279","17,041,821,849",532,533,526,526,-,16,"15,032,529","25,214,064","-10,181,535",0,0,0,"658,672","70,000","588,672","-283,292","198,000","346,000","-148,000","140,314","275,606","-135,292","-9,876,155"
20230207,2330,台積電,"24,362,116","28,519","12,767,910,080",524,528,522,523,-,3,"14,282,325","17,012,089","-2,729,764",0,0,0,"356,000","132,520","223,480","305,157","322,000","231,000","91,000","262,152","47,995","214,157","-2,201,127"
20230208,2330,台積電,"37,633,169","43,495","20,247,927,642",538,540,534,540,+,17,"31,268,437","11,813,176","19,455,261",0,0,0,"402,000","100,866","301,134","593,481","337,994","302,000","35,994","625,487","68,000","557,487","20,349,876"
20230209,2330,台積電,"22,311,345","19,698","12,026,317,167",540,540,536,540, ,0,"16,934,467","9,980,099","6,954,368",0,0,0,"80,000","59,520","20,480","62,018","82,000","103,000","-21,000","302,018","219,000","83,018","7,036,866"
20230210,2330,台積電,"30,445,088","40,984","16,545,221,176",544,546,541,545,+,5,"23,416,605","9,223,829","14,192,776",0,0,0,"1,800","42,000","-40,200","-358,743","363,000","862,000","-499,000","232,257","92,000","140,257","13,793,833"
20230213,2330,台積電,"23,903,151","22,431","12,921,896,752",544,544,538,541,-,4,"15,113,767","16,787,523","-1,673,756",0,0,0,"614,000","283,491","330,509","-916,837","124,000","912,000","-788,000","24,884","153,721","-128,837","-2,260,084"
20230214,2330,台積電,"23,855,974","27,983","12,990,943,260",544,546,543,545,+,4,"15,628,525","9,519,421","6,109,104",0,0,0,"1,224,000","91,070","1,132,930","460,123","285,000","2,000","283,000","193,123","16,000","177,123","7,702,157"
20230215,2330,台積電,"66,068,713","103,433","34,751,111,404",526,532,522,525,-,20,"27,794,176","35,759,875","-7,965,699",0,0,0,"627,000","183,000","444,000","-1,262,568","651,000","1,146,000","-495,000","207,049","974,617","-767,568","-8,784,267"
20230216,2330,台積電,"33,509,968","27,033","17,692,691,883",528,531,524,528,+,3,"22,684,512","19,632,983","3,051,529",0,0,0,"229,000","584,200","-355,200","943,866","732,245","221,000","511,245","499,621","67,000","432,621","3,640,195"
20230217,2330,台積電,"29,673,053","55,965","15,385,668,299",524,524,516,518,-,10,"9,782,528","18,860,833","-9,078,305",0,0,0,"211,000","207,091","3,909","-117,835","60,000","220,000","-160,000","292,000","249,835","42,165","-9,192,231"
20230220,2330,台積電,"21,181,235","25,898","10,928,087,780",514,519,511,517,-,1,"10,875,079","12,641,631","-1,766,552",0,0,0,"194,000","649,100","-455,100","-247,630","61,000","515,000","-454,000","307,000","100,630","206,370","-2,469,282"
20230221,2330,台積電,"15,097,509","27,200","7,771,141,142",515,517,513,516,-,1,"7,019,289","9,224,331","-2,205,042",0,0,0,"63,000","60,100","2,900","-308,282","312,000","714,000","-402,000","231,345","137,627","93,718","-2,510,424"
20230222,2330,台積電,"26,578,867","47,843","13,474,662,693",506,509,505,507,-,9,"12,840,331","15,544,963","-2,704,632",0,0,0,"107,000","80,619","26,381","-854,142","405,000","1,248,694","-843,694","255,000","265,448","-10,448","-3,532,393"
20230223,2330,台積電,"26,801,677","26,552","13,846,782,345",512,521,510,518,+,11,"17,974,679","12,942,559","5,032,120",0,0,0,"145,000","473,000","-328,000","1,226,123","820,000","129,000","691,000","688,469","153,346","535,123","5,930,243"
20230224,2330,台積電,"48,372,303","29,612","24,932,422,713",524,525,511,511,-,7,"37,382,354","36,672,644","709,710",0,0,0,"415,000","72,182","342,818","-50,841","502,000","491,000","11,000","161,538","223,379","-61,841","1,001,687"
20230301,2330,台積電,"45,971,058","31,738","23,624,972,884",504,522,504,522,+,11,"37,632,916","29,882,156","7,750,760",0,0,0,"122,000","74,100","47,900","-1,807,013","58,000","1,361,000","-1,303,000","206,243","710,256","-504,013","5,991,647"
20230302,2330,台積電,"18,017,085","14,320","9,344,352,321",519,520,515,519,-,3,"13,697,424","13,543,202","154,222",0,0,0,"164,000","53,544","110,456","-708,795","22,000","629,000","-607,000","104,684","206,479","-101,795","-444,117"
20230303,2330,台積電,"24,117,189","22,160","12,510,608,773",524,525,516,516,-,3,"14,184,220","19,975,993","-5,791,773",0,0,0,"1,138,000","69,000","1,069,000","-61,768","73,080","78,000","-4,920","124,050","180,898","-56,848","-4,784,541"
20230306,2330,台積電,"24,741,125","20,678","12,883,854,256",520,524,517,521,+,5,"16,306,272","16,368,865","-62,593",0,0,0,"1,000,000","56,490","943,510","2,845,632","2,187,340","21,000","2,166,340","811,008","131,716","679,292","3,726,549"
20230307,2330,台積電,"27,650,283","20,595","14,465,320,023",521,526,519,524,+,3,"17,915,531","17,838,355","77,176",0,0,0,"1,534,000","43,490","1,490,510","798,515","410,100","65,000","345,100","563,318","109,903","453,415","2,366,201"
20230308,2330,台積電,"27,077,587","20,504","14,091,713,576",521,523,518,521,-,3,"16,230,241","21,258,070","-5,027,829",0,0,0,"218,000","68,000","150,000","1,668,753","1,789,100","168,000","1,621,100","287,317","239,664","47,653","-3,209,076"
20230309,2330,台積電,"25,639,391","16,497","13,430,582,677",525,526,522,522,+,1,"18,488,046","18,693,743","-205,697",0,0,0,"265,000","61,490","203,510","197,626","302,000","51,000","251,000","99,623","152,997","-53,374","195,439"
20230310,2330,台積電,"25,572,403","46,216","13,122,265,260",515,516,511,513,-,9,"11,707,421","19,844,934","-8,137,513",0,0,0,"238,000","80,000","158,000","-806,093","24,000","491,000","-467,000","80,000","419,093","-339,093","-8,785,606"
20230313,2330,台積電,"22,568,740","24,150","11,608,973,891",513,518,509,516,+,3,"14,443,979","12,965,582","1,478,397",0,0,0,"115,000","52,530","62,470","492,329","695,000","493,000","202,000","342,611","52,282","290,329","2,033,196"
20230314,2330,台積電,"26,599,476","24,848","13,602,260,966",511,514,510,510,-,6,"17,695,810","22,319,939","-4,624,129",0,0,0,"310,000","93,000","217,000","-54,721","460,000","440,000","20,000","134,991","209,712","-74,721","-4,461,850"
20230315,2330,台積電,"24,080,361","21,075","12,350,942,139",515,516,510,511,+,1,"14,569,735","16,692,396","-2,122,661",0,0,0,"362,143","77,000","285,143","-1,430,360","335,000","1,290,000","-955,000","256,999","732,359","-475,360","-3,267,878"
20230316,2330,台積電,"23,325,664","33,493","11,809,911,840",505,510,504,505,X,0,"12,059,093","17,784,889","-5,725,796",0,0,0,"204,000","33,000","171,000","312,157","293,000","209,000","84,000","426,997","198,840","228,157","-5,242,639"
20230317,2330,台積電,"35,872,881","21,217","18,538,033,584",516,518,513,518,+,13,"27,542,580","18,979,547","8,563,033",0,0,0,"268,000","2,118,123","-1,850,123","-50,544","315,000","311,000","4,000","102,458","157,002","-54,544","6,662,366"
20230320,2330,台積電,"12,752,221","17,709","6,542,889,562",517,518,510,512,-,6,"6,429,510","8,173,744","-1,744,234",0,0,0,"58,000","47,000","11,000","56,870","120,000","50,000","70,000","109,000","122,130","-13,130","-1,676,364"
20230321,2330,台積電,"18,519,120","14,094","9,534,730,452",515,517,512,517,+,5,"14,940,803","12,561,066","2,379,737",0,0,0,"254,000","32,000","222,000","90,597","94,000","157,000","-63,000","294,797","141,200","153,597","2,692,334"
20230322,2330,台積電,"45,681,056","56,483","24,168,561,556",524,533,524,533,+,16,"35,694,798","6,086,532","29,608,266",0,0,0,"257,006","73,000","184,006","333,026","645,997","448,000","197,997","346,229","211,200","135,029","30,125,298"
20230323,2330,台積電,"28,614,856","35,313","15,307,492,846",528,539,528,538,+,5,"19,135,324","9,639,544","9,495,780",0,0,0,"799,005","182,000","617,005","-586,241","286,000","689,000","-403,000","205,759","389,000","-183,241","9,526,544"
20230324,2330,台積電,"22,963,771","24,762","12,348,311,773",536,539,535,539,+,1,"14,489,182","8,479,332","6,009,850",0,0,0,"2,344,979","372,395","1,972,584","-153,716","142,000","334,000","-192,000","220,484","182,200","38,284","7,828,718"
20230327,2330,台積電,"17,170,557","17,484","9,148,085,033",533,536,531,531,-,8,"9,399,715","10,637,986","-1,238,271",0,0,0,"45,000","201,000","-156,000","280,184","132,000","75,000","57,000","307,161","83,977","223,184","-1,114,087"
20230328,2330,台積電,"18,327,556","20,744","9,629,323,504",525,530,524,525,-,6,"10,992,562","12,459,034","-1,466,472",0,0,0,"62,504","155,520","-93,016","-56,726","65,000","118,000","-53,000","191,181","194,907","-3,726","-1,616,214"
20230329,2330,台積電,"17,620,195","15,653","9,329,137,251",533,533,525,530,+,5,"14,612,421","9,795,846","4,816,575",0,0,0,"108,337","24,520","83,817","-425,960","51,000","507,000","-456,000","126,694","96,654","30,040","4,474,432"
20230330,2330,台積電,"20,380,650","18,171","10,894,446,851",536,537,531,535,+,5,"16,398,668","10,674,588","5,724,080",0,0,0,"32,000","131,996","-99,996","146,845","208,000","299,000","-91,000","312,899","75,054","237,845","5,770,929"
20230331,2330,台積電,"24,324,776","15,962","12,997,575,231",538,538,532,533,-,2,"20,121,986","16,292,211","3,829,775",0,0,0,"60,000","144,520","-84,520","757,555","552,000","97,000","455,000","317,555","15,000","302,555","4,502,810"
20230406,2330,台積電,"26,706,549","19,144","14,130,223,516",530,531,526,530,-,3,"22,033,223","19,679,864","2,353,359",0,0,0,"60,000","89,000","-29,000","-221,335","54,000","322,398","-268,398","139,190","92,127","47,063","2,103,024"
20230407,2330,台積電,"11,114,272","10,285","5,903,807,797",535,535,529,531,+,1,"8,456,655","6,175,281","2,281,374",0,0,0,"147,000","103,000","44,000","-94,000","16,000","110,000","-94,000","40,000","40,000",0,"2,231,374"
20230410,2330,台積電,"8,203,168","11,698","4,350,907,176",533,533,528,529,-,2,"5,283,579","4,059,556","1,224,023",0,0,0,"19,355","74,520","-55,165","-78,588","12,000","111,000","-99,000","68,412","48,000","20,412","1,090,270"
