DateTime,Volume,Transaction,Open,High,Low,Close,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet,PE-Ratio,PBR,Yield,ForeignVol,TrustVol,DealerVol,InvestorsVol,Pattern,Trend,InvestorsNet_Dir,ForeignNet_Dir,TrustNet_Dir,DealerNet_Dir,Dir2
2013-01-02,40647,14353,97.6,99.9,97.1,99.6,+,2.6,22484,8625,13859,1746,147,1599,-350,1300,1650,15108,16.54,3.83,3.01,31109,1893,2950,35952,0,0,1,1,1,0,0
2013-01-03,44335,12616,100.5,102.0,100.0,101.0,+,1.4,32303,17347,14955,926,516,410,-1067,1512,2579,14298,16.78,3.88,2.97,49651,1442,4091,55184,0,0,1,1,1,0,1
2013-01-04,39502,10276,100.5,101.5,100.0,101.5,+,0.5,33581,24337,9244,234,190,44,-246,910,1156,9042,16.86,3.9,2.96,57919,424,2066,60409,0,0,1,1,1,0,1
2013-01-07,42328,9042,101.0,101.0,99.1,100.5,-,1.0,26613,26952,-339,203,925,-722,-450,871,1321,-1511,16.69,3.86,2.99,53565,1128,2192,56885,0,0,0,0,0,0,2
2013-01-08,31218,9463,99.6,100.0,98.9,99.7,-,0.8,16628,15087,1540,209,635,-426,-80,749,829,1034,16.56,3.83,3.01,31715,844,1578,34137,0,0,1,1,0,0,2
2013-01-09,26417,7616,100.5,100.5,99.2,100.0,+,0.3,16348,10594,5753,130,243,-113,649,1033,384,6289,16.61,3.84,3.0,26942,373,1417,28732,0,0,1,1,0,1,1
2013-01-10,41234,8304,99.9,101.0,99.5,101.0,+,1.0,30684,27766,2917,151,163,-12,796,1045,249,3701,16.78,3.88,2.97,58450,314,1294,60058,7,0,1,1,0,1,1
2013-01-11,22993,7982,101.5,101.5,100.5,101.0, ,0.0,18831,10635,8195,102,352,-250,-69,262,331,7876,16.78,3.88,2.97,29466,454,593,30513,0,0,1,1,0,0,0
2013-01-14,23575,6414,101.0,102.0,100.0,102.0,+,1.0,19081,10716,8364,120,0,120,-33,475,508,8451,16.94,3.92,2.94,29797,120,983,30900,0,0,1,1,1,0,1
2013-01-15,36015,10021,102.0,102.0,99.8,100.5,-,1.5,26503,27884,-1380,300,499,-199,-253,826,1079,-1832,16.69,3.86,2.99,54388,799,1905,57092,0,0,0,0,0,0,2
2013-01-16,35496,8742,100.5,100.5,99.2,99.2,-,1.3,24600,24029,570,39,4272,-4233,837,1181,344,-2825,16.48,3.81,3.02,48629,4311,1525,54465,0,0,0,1,0,1,2
2013-01-17,40526,9034,100.5,101.0,98.5,99.3,+,0.1,30502,28912,1589,696,404,291,-695,803,1498,1186,16.5,3.82,3.02,59415,1100,2301,62816,0,0,1,1,1,0,1
2013-01-18,49874,11823,101.5,101.5,100.5,101.5,+,2.2,42034,20184,21850,732,1475,-743,-312,2577,2889,20795,16.86,3.9,2.96,62218,2207,5466,69891,0,0,1,1,0,0,1
2013-01-21,17310,5625,101.0,101.0,100.0,100.5,-,1.0,10863,12231,-1368,591,617,-26,279,941,662,-1115,16.69,3.86,2.99,23095,1208,1603,25906,0,0,0,0,0,1,2
2013-01-22,21946,5388,101.0,101.0,99.9,101.0,+,0.5,18759,15376,3382,476,184,292,65,452,387,3739,16.78,3.88,2.97,34135,660,839,35634,0,0,1,1,1,1,1
2013-01-23,30821,7292,101.5,101.5,100.0,101.0, ,0.0,28841,23924,4916,112,332,-220,-56,503,559,4640,16.78,3.88,2.97,52765,444,1062,54271,0,0,1,1,0,0,0
2013-01-24,40653,8257,100.0,100.5,99.2,99.9,-,1.1,23209,34795,-11586,211,293,-82,-1015,896,1911,-12683,16.59,3.84,3.0,58004,504,2807,61315,0,0,0,0,0,0,2
2013-01-25,48674,11885,99.9,99.9,98.0,99.0,-,0.9,29776,40988,-11212,16,1254,-1238,437,1034,597,-12013,16.45,3.8,3.03,70764,1270,1631,73665,0,0,0,0,0,1,2
2013-01-28,29190,7200,98.7,99.5,98.6,99.3,+,0.3,20373,24455,-4082,125,17,108,-622,795,1417,-4596,16.5,3.82,3.02,44828,142,2212,47182,0,1,0,0,1,0,1
2013-01-29,36060,12071,100.0,101.5,99.7,101.0,+,1.7,28873,18836,10037,0,483,-483,-3081,193,3274,6473,16.78,3.88,2.97,47710,483,3467,51660,0,0,1,1,0,0,1
2013-01-30,28862,6963,102.0,102.0,100.5,101.5,+,0.5,26626,16473,10152,0,80,-80,-1210,395,1605,8862,16.86,3.9,2.96,43100,80,2000,45180,0,1,1,1,0,0,1
2013-01-31,42489,6481,100.5,101.5,100.0,101.5, ,0.0,38165,37758,407,135,63,72,-1096,359,1455,-616,16.86,3.9,2.96,75923,198,1814,77935,0,1,0,1,1,0,0
2013-02-01,23211,7596,101.5,101.5,100.5,101.5, ,0.0,22116,18066,4049,0,327,-327,-83,162,245,3639,16.86,3.9,2.96,40182,327,407,40916,0,1,1,1,0,0,0
2013-02-04,35257,10873,102.0,103.0,102.0,103.0,+,1.5,31299,16660,14638,57,1924,-1867,-6,1004,1010,12765,17.11,3.96,2.91,47959,1981,2014,51954,0,1,1,1,0,0,1
2013-02-05,17896,5200,103.0,103.0,101.5,103.0, ,0.0,13254,9299,3954,130,825,-695,-204,472,676,3055,17.11,3.96,2.91,22553,955,1148,24656,0,1,1,1,0,0,0
2013-02-06,32330,9340,103.5,105.0,103.0,105.0,+,2.0,27512,12025,15486,109,426,-317,-3293,430,3723,11876,17.44,4.04,2.86,39537,535,4153,44225,0,0,1,1,0,0,1
2013-02-18,64345,13470,107.0,108.5,106.5,107.0,+,2.0,57660,38638,19022,264,910,-646,-2425,641,3066,15951,17.77,4.11,2.8,96299,1174,3707,101180,0,0,1,1,0,0,1
2013-02-19,22103,6114,108.5,108.5,106.5,107.0, ,0.0,16813,12053,4759,320,349,-29,-1105,552,1657,3625,17.77,4.11,2.8,28866,669,2209,31744,0,0,1,1,0,0,0
2013-02-20,41921,10171,108.5,109.5,108.0,109.0,+,2.0,36414,22776,13637,104,560,-456,-1862,597,2459,11319,18.11,4.19,2.75,59190,664,3056,62910,0,2,1,1,0,0,1
2013-02-21,30551,7485,108.5,108.5,107.0,107.0,-,2.0,26165,24032,2132,0,1182,-1182,-926,392,1318,24,17.77,4.11,2.8,50198,1182,1710,53090,0,2,1,1,0,0,2
2013-02-22,39577,10313,106.0,106.5,105.0,105.5,-,1.5,22165,35973,-13808,52,161,-109,1505,2355,849,-12412,17.52,4.05,2.84,58138,213,3204,61556,0,0,0,0,0,1,2
2013-02-23,10174,3022,106.5,107.5,106.0,107.0,+,1.5,4162,26,4136,102,771,-669,-592,519,1111,2875,17.77,4.11,2.8,4188,873,1630,6691,0,0,1,1,0,0,1
2013-02-25,37216,8564,106.5,107.0,105.0,105.0,-,2.0,25151,29236,-4085,500,59,441,-369,778,1147,-4013,17.44,4.04,2.86,54387,559,1925,56871,0,0,0,0,1,0,2
