Date,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,外資買進股數,外資賣出股數,外資買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),本益比,股價淨值比,殖利率
20160104,2330,台積電,"43,800,291","14,188","6,137,797,502",142.5,143.5,139,139.5,-,3.5,"17,380,120","37,919,486","-20,539,366","959,000","553,000","406,000","1,657,000",,,"-18,476,366","1,231,000","276,000","955,000","877,000","175,000","702,000",11.53,3.14,3.23
20160105,2330,台積電,"46,502,108","15,836","6,436,850,512",139,140,137,138,-,1.5,"19,885,677","25,850,410","-5,964,733","118,000","438,000","-320,000","1,082,000",,,"-5,202,733","985,000","421,000","564,000","804,000","286,000","518,000",11.4,3.11,3.26
20160106,2330,台積電,"53,873,344","15,926","7,321,139,064",138,138,135,135.5,-,2.5,"20,734,555","36,825,835","-16,091,280","52,000","607,000","-555,000","43,000",,,"-16,603,280","716,000","580,000","136,000","269,000","362,000","-93,000",11.2,3.05,3.32
20160107,2330,台積電,"63,475,065","19,061","8,432,791,819",134.5,135,130.5,133,-,2.5,"25,788,517","43,744,530","-17,956,013","5,000","851,284","-846,284","2,059,000",,,"-16,743,297","2,446,000","588,000","1,858,000","1,457,000","1,256,000","201,000",10.99,3,3.38
20160108,2330,台積電,"52,641,383","11,784","7,022,206,705",132,135,132,134,+,1,"40,046,801","41,026,810","-980,009","139,000","258,000","-119,000","-198,000",,,"-1,297,009","538,000","759,000","-221,000","1,514,000","1,491,000","23,000",11.07,3.02,3.36
20160111,2330,台積電,"48,536,267","10,980","6,430,758,978",133,134.5,130.5,133,-,1,"35,535,653","38,794,100","-3,258,447","109,000","327,000","-218,000","-1,519,000",,,"-4,995,447","777,000","1,905,000","-1,128,000","822,000","1,213,000","-391,000",10.99,3,3.38
20160112,2330,台積電,"35,133,164","9,492","4,657,051,312",133,134,131.5,133, ,0,"20,320,000","27,791,305","-7,471,305","56,000","9,000","47,000","-390,000",,,"-7,814,305","1,138,000","818,000","320,000","494,000","1,204,000","-710,000",10.99,3,3.38
20160113,2330,台積電,"50,237,061","9,488","6,719,817,674",133.5,135.5,133,133.5,+,0.5,"41,387,908","34,786,132","6,601,776","94,000","531,000","-437,000","-1,831,000",,,"4,333,776","365,000","756,000","-391,000","267,000","1,707,000","-1,440,000",11.03,3.01,3.37
20160114,2330,台積電,"39,498,490","14,501","5,177,864,180",130.5,132,130.5,131.5,-,2,"21,530,485","25,666,361","-4,135,876",0,"200,000","-200,000","-778,000",,,"-5,113,876","910,000","831,000","79,000","233,000","1,090,000","-857,000",10.87,2.96,3.42
20160115,2330,台積電,"79,648,971","20,280","10,911,032,870",137.5,138,135.5,137,+,5.5,"61,989,516","37,200,259","24,789,257","2,162,000","365,000","1,797,000","-1,612,000",,,"24,974,257","2,057,000","1,523,000","534,000","119,000","2,265,000","-2,146,000",11.32,3.09,3.28
