Date,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,外資買進股數,外資賣出股數,外資買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),本益比,股價淨值比,殖利率,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,股利年度
20170103,2330,台積電,"23,550,783","8,743","4,300,648,272",181.5,183.5,181,183,+,1.5,"15,250,137","15,198,000","52,137",0,"90,000","-90,000","-1,193,000",,,"-1,230,863","79,000","996,000","-917,000","75,000","351,000","-276,000",15.47,3.7,3.28,,,,,,,
20170104,2330,台積電,"24,482,374","8,476","4,478,699,942",183,184,181.5,183, ,0,"13,410,312","17,516,549","-4,106,237","29,000","14,000","15,000","-115,000",,,"-4,206,237","487,000","678,000","-191,000","279,000","203,000","76,000",15.47,3.7,3.28,,,,,,,
20170105,2330,台積電,"21,373,561","8,297","3,913,389,163",182,183.5,181.5,183.5,+,0.5,"14,805,339","13,005,582","1,799,757","59,000","596,000","-537,000","301,000",,,"1,563,757","317,000","195,000","122,000","294,000","115,000","179,000",15.51,3.71,3.27,,,,,,,
20170106,2330,台積電,"23,120,808","9,659","4,250,912,732",184,184.5,183.5,184,+,0.5,"16,411,089","12,533,500","3,877,589","71,000","26,000","45,000","-196,000",,,"3,726,589","293,000","459,000","-166,000","114,000","144,000","-30,000",15.55,3.72,3.26,,,,,,,
20170109,2330,台積電,"18,583,788","5,759","3,419,409,204",184,185,183,184, ,0,"12,377,038","9,003,601","3,373,437","7,000",0,"7,000","-971,000",,,"2,409,437","213,000","1,199,000","-986,000","212,000","197,000","15,000",15.55,3.72,3.26,,,,,,,
20170110,2330,台積電,"20,691,305","7,831","3,811,496,280",184.5,185.5,183.5,184, ,0,"15,283,665","11,820,600","3,463,065","51,000","381,000","-330,000","-845,000",,,"2,288,065","390,000","1,364,000","-974,000","293,000","164,000","129,000",15.55,3.72,3.26,,,,,,,
20170111,2330,台積電,"29,747,168","10,509","5,438,136,536",185,185,181.5,182,-,2,"17,225,634","26,100,359","-8,874,725","6,000","56,000","-50,000","1,535,165",,,"-7,389,560","1,522,000","139,000","1,383,000","343,000","190,835","152,165",15.38,3.68,3.3,,,,,,,
20170112,2330,台積電,"48,599,502","13,220","8,959,263,194",182.5,185.5,182.5,184.5,+,2.5,"41,493,382","29,487,279","12,006,103","406,000","1,453,000","-1,047,000","-1,945,000",,,"9,014,103","34,000","1,273,000","-1,239,000","459,000","1,165,000","-706,000",15.6,3.73,3.25,,,,,,,
20170113,2330,台積電,"53,089,358","16,366","9,622,624,651",180.5,182.5,180.5,181.5,-,3,"30,143,551","42,482,278","-12,338,727","418,000","1,169,000","-751,000","-745,000",,,"-13,834,727","404,000","964,000","-560,000","327,000","512,000","-185,000",15.34,3.67,3.31,,,,,,,
20170116,2330,台積電,"30,878,049","13,441","5,545,432,320",180,180.5,179,179.5,-,2,"9,565,460","26,066,541","-16,501,081","70,000","860,000","-790,000","358,000",,,"-16,933,081","903,000","245,000","658,000","101,000","401,000","-300,000",15.17,3.63,3.34,,,,,,,
20170117,2330,台積電,"13,207,419","5,771","2,386,575,839",180.5,181,179.5,181,+,1.5,"8,265,298","8,602,017","-336,719","70,000","117,000","-47,000","-452,765",,,"-836,484","15,000","502,000","-487,000","115,000","80,765","34,235",15.3,3.66,3.31,,,,,,,
20170118,2330,台積電,"23,810,637","7,783","4,292,682,797",180.5,181,179.5,181, ,0,"17,252,200","18,508,900","-1,256,700","162,000","86,000","76,000","-858,000",,,"-2,038,700","610,000","57,000","553,000","60,000","1,471,000","-1,411,000",15.3,3.66,3.31,,,,,,,
20170119,2330,台積電,"25,935,613","8,400","4,673,783,621",179.5,181,179.5,180.5,-,0.5,"17,925,753","20,216,801","-2,291,048","25,000","238,000","-213,000","-412,000",,,"-2,916,048","23,000","294,000","-271,000","30,000","171,000","-141,000",15.26,3.65,3.32,,,,,,,
20170120,2330,台積電,"42,317,086","7,803","7,658,563,990",181,181.5,180.5,181,+,0.5,"39,708,055","31,765,516","7,942,539","95,000","155,000","-60,000","-425,000",,,"7,457,539","10,000","306,000","-296,000","208,000","337,000","-129,000",15.3,3.66,3.31,,,,,,,
20170123,2330,台積電,"58,299,156","13,560","10,699,572,592",182.5,185,182.5,185,+,4,"56,537,129","34,081,973","22,455,156","199,172","41,000","158,172","-1,970,095",,,"20,643,233","161,000","1,216,000","-1,055,000","58,905","974,000","-915,095",15.64,3.74,3.24,,,,,,,
20170124,2330,台積電,"72,014,239","14,227","13,356,900,945",185,186.5,184.5,185.5,+,0.5,"69,525,353","39,078,259","30,447,094","10,000",0,"10,000","-1,344,905",,,"29,112,189","285,000","1,178,000","-893,000","32,095","484,000","-451,905",15.68,3.75,3.23,,,,,,,
20170202,2330,台積電,"153,703,780","21,047","28,731,441,750",188,188.5,184,184.5,-,1,"140,928,799","120,772,502","20,156,297","39,000","62,000","-23,000","-1,465,000",,,"18,668,297","1,820,000","2,229,000","-409,000","118,000","1,174,000","-1,056,000",15.6,3.73,3.25,,,,,,,
20170203,2330,台積電,"30,387,652","8,079","5,604,884,683",186,186,183.5,184.5, ,0,"24,221,564","26,568,623","-2,347,059","313,000","24,000","289,000","260,000",,,"-1,798,059","636,000","201,000","435,000","37,000","212,000","-175,000",15.6,3.73,3.25,,,,,,,
20170206,2330,台積電,"29,702,832","8,330","5,476,151,588",184.5,185.5,184,184.5, ,0,"23,841,460","22,388,854","1,452,606","9,000","505,000","-496,000","369,000",,,"1,325,606","628,000","160,000","468,000","44,000","143,000","-99,000",15.6,3.73,3.25,,,,,,,
20170207,2330,台積電,"23,981,988","8,712","4,418,689,272",183.5,185,183,184.5, ,0,"15,291,643","16,152,003","-860,360","367,000","715,000","-348,000","5,000",,,"-1,203,360","293,000","474,000","-181,000","190,000","4,000","186,000",15.6,3.73,3.25,,,,,,,
20170208,2330,台積電,"45,607,272","8,245","8,371,548,478",183.5,184.5,183,183.5,-,1,"28,127,765","43,471,748","-15,343,983","146,000","462,400","-316,400","1,037,000",,,"-14,623,383","799,000","230,000","569,000","623,000","155,000","468,000",15.51,3.71,3.27,,,,,,,
20170209,2330,台積電,"23,419,788","6,639","4,320,161,722",184,185.5,183.5,184,+,0.5,"17,189,783","17,927,522","-737,739","515,000","217,000","298,000","-941,000",,,"-1,380,739","80,000","413,000","-333,000","137,000","745,000","-608,000",15.55,3.72,3.26,,,,,,,
20170210,2330,台積電,"49,257,380","9,566","9,113,650,300",184.5,185.5,184,185.5,+,1.5,"39,055,429","45,050,575","-5,995,146","596,000","72,000","524,000","224,000",,,"-5,247,146","363,000","185,000","178,000","173,000","127,000","46,000",15.68,3.75,3.23,,,,,,,
20170213,2330,台積電,"26,155,819","10,124","4,904,437,753",186.5,188,186.5,187.5,+,2,"12,499,284","11,758,290","740,994","348,000","147,000","201,000","-564,000",,,"377,994","990,000","925,000","65,000","10,000","639,000","-629,000",15.85,3.79,3.2,,,,,,,
20170214,2330,台積電,"46,716,940","11,413","8,798,947,193",189,190,187.5,187.5, ,0,"32,215,772","34,505,851","-2,290,079",0,"82,000","-82,000","1,541,000",,,"-831,079","1,925,000","577,000","1,348,000","472,000","279,000","193,000",15.85,3.79,3.2,,,,,,,
20170215,2330,台積電,"39,928,274","12,905","7,528,270,012",187,189.5,186.5,189,+,1.5,"34,390,793","21,544,858","12,845,935","80,000","64,000","16,000","-2,640,000",,,"10,221,935","307,000","1,567,000","-1,260,000","83,000","1,463,000","-1,380,000",15.98,3.82,3.7,,,,,,,
20170216,2330,台積電,"28,371,087","9,035","5,360,502,302",190,190.5,188,189, ,0,"20,717,254","15,335,344","5,381,910","7,000","148,000","-141,000","-952,000",,,"4,288,910","618,000","852,000","-234,000","14,000","732,000","-718,000",14.66,3.53,3.7,,,,,,,
20170217,2330,台積電,"20,407,880","7,390","3,870,482,337",190,190.5,189,189.5,+,0.5,"16,332,000","10,885,337","5,446,663","13,000","1,059,000","-1,046,000","-91,000",,,"4,309,663","333,000","380,000","-47,000","22,000","66,000","-44,000",14.7,3.54,3.69,,,,,,,
20170218,2330,台積電,"3,517,102","1,771","667,392,778",190,190.5,189.5,189.5, ,0,"2,000,000","5,000","1,995,000","32,000","192,000","-160,000","-90,000",,,"1,745,000","80,000","85,000","-5,000","48,000","133,000","-85,000",14.7,3.54,3.69,,,,,,,
20170220,2330,台積電,"13,280,401","6,466","2,523,599,428",190,190.5,189.5,190,+,0.5,"11,330,787","6,465,000","4,865,787","11,000","287,000","-276,000","-177,000",,,"4,412,787","180,000","180,000",0,"61,000","238,000","-177,000",14.74,3.55,3.68,,,,,,,
20170221,2330,台積電,"31,987,532","8,646","6,058,373,156",190,190,188.5,190, ,0,"28,238,000","12,497,095","15,740,905","69,000","198,000","-129,000","225,000",,,"15,836,905","764,000","487,000","277,000","23,000","75,000","-52,000",14.74,3.55,3.68,,,,,,,
20170222,2330,台積電,"26,144,905","6,199","4,946,742,296",190.5,191,188.5,188.5,-,1.5,"20,323,229","13,592,487","6,730,742","36,000","298,000","-262,000","365,000",,,"6,833,742","828,000","354,000","474,000","140,000","249,000","-109,000",14.62,3.52,3.71,,,,,,,
20170223,2330,台積電,"36,095,621","7,885","6,809,495,260",188,189.5,187,188.5, ,0,"30,978,480","16,364,809","14,613,671","62,000","161,000","-99,000","610,000",,,"15,124,671","644,000","147,000","497,000","175,000","62,000","113,000",14.62,3.52,3.71,,,,,,,
20170224,2330,台積電,"26,177,021","7,417","4,945,608,983",187.5,190.5,187.5,189,+,0.5,"24,078,585","19,667,117","4,411,468","7,000","87,000","-80,000","-378,000",,,"3,953,468","150,000","681,000","-531,000","237,000","84,000","153,000",14.66,3.53,3.7,,,,,,,
20170301,2330,台積電,"48,263,273","12,019","9,041,728,541",188.5,188.5,186,186,-,3,"39,381,913","42,763,739","-3,381,826","4,000","62,000","-58,000","774,000",,,"-2,665,826","908,000","210,000","698,000","267,000","191,000","76,000",14.43,3.47,3.76,,,,,,,
20170302,2330,台積電,"40,879,671","12,567","7,603,470,296",188,188.5,185,186, ,0,"29,799,123","21,246,502","8,552,621","19,000","10,000","9,000","289,500",,,"8,851,121","562,000","533,000","29,000","363,500","103,000","260,500",14.43,3.47,3.76,,,,,,,
20170303,2330,台積電,"28,213,610","11,570","5,199,920,850",184.5,185,184,184,-,2,"14,458,899","22,445,684","-7,986,785","12,000","480,000","-468,000","716,000",,,"-7,738,785","311,000","8,000","303,000","422,000","9,000","413,000",14.27,3.43,3.8,,,,,,,
20170306,2330,台積電,"12,633,329","5,831","2,321,087,036",184,184.5,183.5,183.5,-,0.5,"5,656,098","9,542,509","-3,886,411","31,000","406,000","-375,000","591,000",,,"-3,670,411","100,000","15,000","85,000","513,000","7,000","506,000",14.24,3.42,3.81,,,,,,,
20170307,2330,台積電,"22,816,387","5,824","4,214,029,230",184,185.5,184,185.5,+,2,"15,860,622","19,427,877","-3,567,255","1,525,000","251,000","1,274,000","-21,000",,,"-2,314,255","43,000","57,000","-14,000","132,000","139,000","-7,000",14.39,3.46,3.77,,,,,,,
20170308,2330,台積電,"38,657,077","9,614","7,217,763,409",186,188,185.5,187,+,1.5,"33,770,373","28,210,626","5,559,747","122,000","628,000","-506,000","-1,202,000",,,"3,851,747","10,000","658,000","-648,000","159,000","713,000","-554,000",14.51,3.49,3.74,,,,,,,
20170309,2330,台積電,"31,119,469","12,394","5,750,011,305",185.5,186,184,184.5,-,2.5,"20,155,389","26,518,299","-6,362,910",0,"320,000","-320,000","784,500",,,"-5,898,410","356,000","27,000","329,000","526,000","70,500","455,500",14.31,3.44,3.79,,,,,,,
20170310,2330,台積電,"24,886,297","10,065","4,569,391,905",184,184.5,183,183.5,-,1,"14,608,806","22,940,751","-8,331,945","22,000","94,000","-72,000","558,888",,,"-7,845,057","177,000","143,000","34,000","530,888","6,000","524,888",14.24,3.42,3.81,,,,,,,
20170313,2330,台積電,"11,025,355","4,141","2,048,482,530",185,186.5,185,186.5,+,3,"9,185,938","4,831,265","4,354,673","12,000","148,000","-136,000","-528,000",,,"3,690,673","185,000","481,000","-296,000","225,000","457,000","-232,000",14.47,3.48,3.75,,,,,,,
20170314,2330,台積電,"24,373,221","7,773","4,564,713,486",188,188,186,186,-,0.5,"21,980,737","15,446,446","6,534,291",0,"342,000","-342,000","-895,000",,,"5,297,291","298,000","649,000","-351,000","31,000","575,000","-544,000",14.43,3.47,3.76,,,,,,,
20170315,2330,台積電,"14,147,168","4,952","2,634,475,248",185.5,187,185.5,186.5,+,0.5,"11,799,183","10,155,324","1,643,859","342,000","361,000","-19,000","-278,000",,,"1,346,859","95,000","240,000","-145,000","85,000","218,000","-133,000",14.47,3.48,3.75,,,,,,,
