﻿Date,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,本益比,股價淨值比,殖利率,股利年度
20200102,2330,台積電,"33,282,120","17,160","11,224,165,450",332.5,339,332.5,339,+,8,"13,041,781","17,798,488","-4,756,707",0,0,0,"20,000","199,000","-179,000","-17,000","475,000","401,000","74,000","217,000","308,000","-91,000","-4,952,707",26.69,5.54,2.36,107
20200103,2330,台積電,"42,023,268","20,545","14,295,651,580",344,345,335.5,339.5,+,0.5,"18,817,154","16,223,795","2,593,359",0,0,0,"239,000","42,000","197,000","-1,108,000","713,000","785,000","-72,000","66,000","1,102,000","-1,036,000","1,682,359",26.73,5.55,2.36,107
20200106,2330,台積電,"45,677,057","22,944","15,210,531,318",333,334.5,332,332,-,7.5,"9,239,458","25,334,567","-16,095,109",0,0,0,"92,000","956,000","-864,000","822,000","564,000","656,000","-92,000","1,029,000","115,000","914,000","-16,137,109",26.14,5.42,2.41,107
20200107,2330,台積電,"51,746,181","22,362","17,053,282,011",332.5,333,326.5,329.5,-,2.5,"16,605,626","30,960,488","-14,354,862",0,0,0,"365,000","667,000","-302,000","631,000","589,000","819,000","-230,000","916,000","55,000","861,000","-14,025,862",25.94,5.38,2.43,107
20200108,2330,台積電,"37,913,748","18,228","12,484,410,088",325,333,325,329.5, ,0,"17,729,312","18,521,235","-791,923",0,0,0,"96,000","115,000","-19,000","-423,000","389,000","574,000","-185,000","451,000","689,000","-238,000","-1,233,923",25.94,5.38,2.43,107
20200109,2330,台積電,"32,397,504","16,793","10,890,847,940",335,337.5,333.5,337.5,+,8,"18,655,552","8,579,000","10,076,552",0,0,0,"170,000","110,000","60,000","-682,000","358,000","512,000","-154,000","146,000","674,000","-528,000","9,454,552",26.57,5.51,2.37,107
20200110,2330,台積電,"27,880,115","13,296","9,432,320,316",340.5,341,336,339.5,+,2,"13,854,136","12,165,037","1,689,099",0,0,0,0,"78,000","-78,000","-879,000","534,000","482,000","52,000","121,000","1,052,000","-931,000","732,099",26.73,5.55,2.36,107
20200113,2330,台積電,"30,663,332","13,457","10,455,852,739",342,342,339,341.5,+,2,"21,788,114","16,096,400","5,691,714",0,0,0,"184,000","420,000","-236,000","140,000","509,000","276,000","233,000","164,000","257,000","-93,000","5,595,714",26.89,5.58,2.34,107
20200114,2330,台積電,"30,368,993","16,339","10,488,360,978",345.5,346,344.5,346,+,4.5,"17,826,229","13,407,637","4,418,592",0,0,0,"88,000","350,000","-262,000","714,000","541,000","92,000","449,000","410,000","145,000","265,000","4,870,592",27.24,5.65,2.31,107
20200115,2330,台積電,"54,575,274","20,392","18,590,754,206",345,345,337.5,340,-,6,"24,303,582","42,208,023","-17,904,441",0,0,0,"28,000","963,585","-935,585","-322,990","1,133,000","2,102,000","-969,000","784,000","137,990","646,010","-19,163,016",26.77,5.56,2.35,107
20200116,2330,台積電,"58,217,420","24,721","19,431,133,895",330,336.5,330,334.5,-,5.5,"22,198,391","46,768,944","-24,570,553",0,0,0,"129,000","276,000","-147,000","2,603,000","1,002,000","366,000","636,000","2,258,000","291,000","1,967,000","-22,114,553",26.34,5.47,2.39,107
20200117,2330,台積電,"53,908,097","23,954","17,977,119,406",334,335.5,332,333,-,1.5,"22,277,602","40,046,989","-17,769,387",0,0,0,"102,000","1,379,000","-1,277,000","33,000","443,000","892,000","-449,000","1,218,000","736,000","482,000","-19,013,387",26.22,5.44,2.4,107
20200120,2330,台積電,"35,551,203","15,095","11,865,436,839",334,335.5,333,333, ,0,"18,926,598","22,555,082","-3,628,484",0,0,0,"11,000","612,000","-601,000","1,169,000","349,000","42,000","307,000","1,049,000","187,000","862,000","-3,060,484",26.22,5.44,2.4,107
20200130,2330,台積電,"126,820,049","55,603","40,734,449,874",326,326,316.5,316.5,-,16.5,"58,065,434","85,254,766","-27,189,332",0,0,0,"542,000","2,497,000","-1,955,000","-1,955,000","2,665,000","2,929,000","-264,000","591,000","2,282,000","-1,691,000","-31,099,332",24.92,5.17,2.53,107
20200131,2330,台積電,"62,912,055","22,639","20,205,365,710",323,323.5,319,320,+,3.5,"29,993,800","46,238,782","-16,244,982",0,0,0,"248,000","324,000","-76,000","-402,000","172,000","1,249,000","-1,077,000","1,284,000","609,000","675,000","-16,722,982",25.2,5.23,2.5,107
